config,target,split,bin,observations,mean_probability,event_rate
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,1,27,0.22877196156969215,0.1111111111111111
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,2,26,0.2825950684064951,0.5769230769230769
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,3,26,0.3293222658330694,0.3076923076923077
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,4,26,0.3678832511825544,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,5,26,0.39846731383713163,0.3076923076923077
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,6,26,0.43280982414636243,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,7,26,0.46238145514450546,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,8,26,0.49315825806085545,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,9,26,0.5261081007110837,0.34615384615384615
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,10,26,0.5902350397838035,0.2692307692307692
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,1,8,0.25457250321651714,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,2,7,0.3053339641311266,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,3,7,0.3399594297013747,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,4,7,0.37954004031393923,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,5,8,0.40162961760544796,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,6,7,0.4218962867037878,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,7,7,0.4502445193461127,0.14285714285714285
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,8,7,0.5003147282475159,0.14285714285714285
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,9,7,0.5493166036990189,0.2857142857142857
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,10,8,0.6280201352609063,0.125
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,1,27,0.3143962286900493,0.18518518518518517
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,2,26,0.3749254095186174,0.19230769230769232
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,3,26,0.40363158438496244,0.38461538461538464
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,4,26,0.43230144232280804,0.2692307692307692
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,5,26,0.4588863507610719,0.3076923076923077
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,6,26,0.49209024996035616,0.23076923076923078
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,7,26,0.5325334645043737,0.38461538461538464
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,8,26,0.5924261699350842,0.38461538461538464
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,9,26,0.6900365825135071,0.46153846153846156
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,10,26,0.8647206893204753,0.46153846153846156
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,1,8,0.31990689568718905,0.125
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,2,7,0.36896759963679504,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,3,7,0.3842366928446059,0.0
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,4,7,0.40380393798242126,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,5,8,0.42917540685628197,0.25
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,6,7,0.4467348471004521,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,7,7,0.46597916636360664,0.2857142857142857
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,8,7,0.49613770060018275,0.5714285714285714
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,9,7,0.5247773673005846,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,10,8,0.6243619127224284,0.375
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,1,27,0.23339361182643592,0.3333333333333333
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,2,26,0.37271735136050743,0.3076923076923077
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,3,26,0.4239109886342736,0.23076923076923078
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,4,26,0.4487366382530879,0.34615384615384615
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,5,26,0.46502117582930325,0.46153846153846156
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,6,26,0.4871634060592013,0.2692307692307692
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,7,26,0.5084090269563797,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,8,26,0.5315986836398565,0.2692307692307692
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,9,26,0.5574026649541987,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,10,26,0.6188334865569673,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,1,8,0.3981126837203341,0.375
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,2,7,0.43191716046795153,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,3,7,0.44724126372790796,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,4,7,0.4653251246870731,0.14285714285714285
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,5,8,0.4744144778975934,0.25
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,6,7,0.49542507571751676,0.2857142857142857
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,7,7,0.5153518398381187,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,8,7,0.5291599617482816,0.7142857142857143
