row_type,feature,feature_2,correlation
feature_max_abs_corr,stablecoin_supply_acceleration,combined_crypto_liquidity_impulse,0.6398391727778391
feature_max_abs_corr,stablecoin_supply_7d_30d_spread,stablecoin_supply_percentile,0.786384569682936
feature_max_abs_corr,stablecoin_supply_percentile,stablecoin_supply_7d_30d_spread,0.786384569682936
feature_max_abs_corr,tvl_acceleration,combined_crypto_liquidity_impulse,0.799318906504004
feature_max_abs_corr,tvl_7d_30d_spread,top20_positive_30d_return_pct,0.7064462344524748
feature_max_abs_corr,tvl_percentile,recovery_from_drawdown,0.8077804629091918
feature_max_abs_corr,combined_crypto_liquidity_impulse,tvl_acceleration,0.799318906504004
feature_max_abs_corr,top10_breadth_acceleration,top20_breadth_acceleration,0.9466311709366018
high_correlation_pair,top10_breadth_acceleration,top20_breadth_acceleration,0.9466311709366018
feature_max_abs_corr,top20_breadth_acceleration,top10_breadth_acceleration,0.9466311709366018
feature_max_abs_corr,top20_above_30dma_pct,top20_positive_30d_return_pct,0.8258277308113414
feature_max_abs_corr,top20_positive_30d_return_pct,breadth_recovery_from_depressed,0.9745165053304519
high_correlation_pair,top20_positive_30d_return_pct,breadth_recovery_from_depressed,0.9745165053304519
feature_max_abs_corr,top20_30d_high_pct,top20_above_30dma_pct,0.7319113087007967
feature_max_abs_corr,breadth_recovery_from_depressed,top20_positive_30d_return_pct,0.9745165053304519
feature_max_abs_corr,eth_btc_relative_strength_14d,eth_btc_relative_strength_30d,0.6183744425206463
feature_max_abs_corr,eth_btc_relative_strength_30d,eth_btc_breakout_strength,0.7435897970380995
feature_max_abs_corr,eth_btc_relative_strength_63d,eth_btc_breakout_strength,0.5842824508571544
feature_max_abs_corr,eth_btc_breakout_strength,eth_btc_relative_strength_30d,0.7435897970380995
feature_max_abs_corr,btc_dominance_proxy_change_30d,top20_equal_weight_minus_btc_return_30d,0.44467592569909026
feature_max_abs_corr,altcoin_leadership_proxy_30d,top20_equal_weight_minus_btc_return_30d,0.9988765298720126
high_correlation_pair,altcoin_leadership_proxy_30d,top20_equal_weight_minus_btc_return_30d,0.9988765298720126
high_correlation_pair,altcoin_leadership_proxy_30d,top20_equal_weight_minus_btc_vol_adj_30d,0.9768775153825504
feature_max_abs_corr,top20_equal_weight_minus_btc_return_30d,altcoin_leadership_proxy_30d,0.9988765298720126
high_correlation_pair,top20_equal_weight_minus_btc_return_30d,top20_equal_weight_minus_btc_vol_adj_30d,0.9768856499826255
feature_max_abs_corr,top20_equal_weight_minus_btc_vol_adj_30d,top20_equal_weight_minus_btc_return_30d,0.9768856499826255
feature_max_abs_corr,market_dollar_volume_growth_30d,volume_acceleration,0.7377900193998209
feature_max_abs_corr,volume_acceleration,market_dollar_volume_growth_30d,0.7377900193998209
feature_max_abs_corr,abnormal_volume_zscore,volume_breadth,0.5784679904218504
feature_max_abs_corr,volume_breadth,volume_confirmation_of_price_trend,0.7496492565857177
feature_max_abs_corr,volume_confirmation_of_price_trend,top20_positive_30d_return_pct,0.8461642852020412
feature_max_abs_corr,realized_volatility_compression,upside_semivariance,0.713592776502152
feature_max_abs_corr,volatility_of_volatility,realized_volatility_compression,0.2721017006746691
feature_max_abs_corr,dispersion_acceleration,distance_from_30d_lows,0.412956739051581
feature_max_abs_corr,upside_semivariance,realized_volatility_compression,0.713592776502152
feature_max_abs_corr,downside_to_upside_volatility_ratio,top20_positive_30d_return_pct,0.7482088272677994
feature_max_abs_corr,jump_intensity,realized_volatility_compression,0.5842062800476076
feature_max_abs_corr,distance_from_30d_lows,assets_rebounding_from_30d_lows_pct,0.918162861331234
high_correlation_pair,distance_from_30d_lows,assets_rebounding_from_30d_lows_pct,0.918162861331234
feature_max_abs_corr,distance_from_90d_lows,distance_from_180d_lows,0.76244808589338
feature_max_abs_corr,distance_from_180d_lows,distance_from_90d_lows,0.76244808589338
feature_max_abs_corr,recovery_from_drawdown,tvl_percentile,0.8077804629091918
feature_max_abs_corr,assets_rebounding_from_30d_lows_pct,distance_from_30d_lows,0.918162861331234
feature_max_abs_corr,falling_vix_after_high_vix,risk_appetite_recovery_score,0.5172041100121462
feature_max_abs_corr,equity_momentum_recovery,risk_appetite_recovery_score,0.6771837412528583
feature_max_abs_corr,equity_volatility_compression,risk_appetite_recovery_score,0.4926647456021258
feature_max_abs_corr,risk_appetite_recovery_score,equity_momentum_recovery,0.6771837412528583
