feature,target,target_label,target_type,full_ic,mean_ic,newey_west_t,p_value,positive_fold_fraction,auc,fold_ic_std,holdout_ic,holdout_auc,holdout_sign_consistent
stablecoin_supply_acceleration,btc_30d_upside,BTC 30d > +15%,binary,0.0028206983787452677,0.013293321763006346,1.1813870502541646,0.23744900002171643,0.5333333333333333,0.5018066194536783,0.035932448595979424,0.07978674544232073,0.5911764705882353,True
stablecoin_supply_acceleration,eth_30d_upside,ETH 30d > +20%,binary,0.0649183645927691,0.08049107563847745,3.287047777534916,0.0010124365502202082,0.8666666666666667,0.5417516758962402,0.07683956220814511,0.13447701093928005,0.6085043988269795,True
stablecoin_supply_acceleration,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.03418018867608127,0.04131428231755469,2.9420334000129316,0.003260647566310837,0.6666666666666666,0.5212563019484944,0.05809311448209286,0.13046299099971617,0.6095238095238096,True
stablecoin_supply_acceleration,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.02300505985421475,0.02294206246362325,1.2119655519859676,0.22552556733597373,0.6,0.5141711229946524,0.06968347571568068,0.2262942859214143,0.6578947368421053,True
stablecoin_supply_acceleration,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.023362423309777877,0.022951250438814772,1.3515384247118323,0.17652301980918605,0.6,,0.07470323239341278,0.12881031716648156,,True
stablecoin_supply_7d_30d_spread,btc_30d_upside,BTC 30d > +15%,binary,-0.17341653632525908,-0.08065864659305236,-1.99128618265657,0.046449433646007954,0.6666666666666666,0.6110709640121404,0.13636753252666153,0.06949168151427935,0.5794117647058823,False
stablecoin_supply_7d_30d_spread,eth_30d_upside,ETH 30d > +20%,binary,-0.21673443536818027,-0.07553478748012596,-1.3512912493599116,0.1766021540475431,0.6666666666666666,0.6393908481492276,0.1713810619707983,0.04179690880545191,0.533724340175953,False
stablecoin_supply_7d_30d_spread,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.16662841979589618,-0.05763484961733136,-1.3134462294383409,0.1890326284620576,0.6666666666666666,0.6036244719989099,0.1487840437120774,0.09453839927515666,0.5793650793650794,False
stablecoin_supply_7d_30d_spread,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.2075881108543057,-0.10416582991521423,-2.297866455681994,0.02156939099134969,0.6666666666666666,0.6278743315508022,0.16166783387787426,0.050287619093647616,0.5350877192982456,False
stablecoin_supply_7d_30d_spread,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,-0.38377778227738746,-0.29893687721408024,-9.810236444284117,0.0,1.0,,0.10184383119667623,-0.05618289522399112,,True
stablecoin_supply_percentile,btc_30d_upside,BTC 30d > +15%,binary,0.10902507399569558,0.049837506371387945,1.4064374203910095,0.1595942750426418,0.5333333333333333,0.5681456857927446,0.13930129380679793,-0.04639419421771588,0.55,False
stablecoin_supply_percentile,eth_30d_upside,ETH 30d > +20%,binary,0.17843698369675548,0.08014383737268568,1.8123762994107777,0.06992807237669751,0.6,0.611993587875255,0.1789678336911992,0.17823940296685145,0.6356304985337244,True
stablecoin_supply_percentile,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.1129317087793494,0.034986984219225595,0.9252333016491989,0.35484456453867397,0.4666666666666667,0.5685379479493119,0.15539829322715756,0.0781895125521269,0.5619047619047619,True
stablecoin_supply_percentile,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.20248623699738397,0.14116637457862372,3.9149395699646794,9.042685324711641e-05,0.7333333333333333,0.6217245989304813,0.1727772667334353,0.19412554122783635,0.6277412280701754,True
stablecoin_supply_percentile,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.3584254657671863,0.30882577026680724,9.496263375919273,0.0,1.0,,0.1310367813112179,0.25543454612201677,,True
