feature,family,best_target,feature_tier,development_auc,development_ic,newey_west_t,positive_fold_fraction,holdout_ic,holdout_auc,holdout_sign_consistent,max_abs_correlation,rationale,tier_reason
recovery_from_drawdown,recovery_capitulation,eth_vs_btc_leadership,Expansion Tier 1,0.6669786096256685,0.2710766473021875,4.432165751028261,0.8666666666666667,0.20277671381739282,0.6414473684210527,True,0.8077804629091918,market recovery from recent drawdown trough,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
tvl_percentile,liquidity_inflow,eth_vs_btc_leadership,Expansion Tier 1,0.654144385026738,0.2506395967749676,4.594416274086158,0.9333333333333333,0.13201721997737703,0.5921052631578948,True,0.8077804629091918,TVL relative to its own history,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
jump_intensity,volatility_structure,eth_vs_btc_leadership,Expansion Tier 1,0.6467580213903743,-0.24429293309773534,-4.510859326559845,0.8666666666666667,-0.04830742175870256,0.5323464912280702,True,0.5842062800476076,frequency of large market moves,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
stablecoin_supply_percentile,liquidity_inflow,eth_vs_btc_leadership,Expansion Tier 1,0.6217245989304813,0.20248623699738397,3.9149395699646794,0.7333333333333333,0.19412554122783635,0.6277412280701754,True,0.786384569682936,stablecoin supply relative to its own history,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
eth_btc_relative_strength_30d,leadership,eth_30d_upside,Expansion Tier 1,0.6182599825123871,-0.18387871855857635,-6.8951072233607364,1.0,-0.03271062428252758,0.5263929618768329,True,0.7435897970380995,ETH/BTC 30d relative strength,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
upside_semivariance,volatility_structure,eth_vs_btc_leadership,Expansion Tier 1,0.6158422459893049,0.18805551286487807,3.6607379008517893,0.7333333333333333,0.16186327395767824,0.6129385964912281,True,0.713592776502152,upside volatility participation,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
distance_from_90d_lows,recovery_capitulation,eth_vs_btc_leadership,Expansion Tier 1,0.6059491978609626,0.17199537674023763,4.83874351332216,0.9333333333333333,0.0660025000604125,0.5460526315789473,True,0.76244808589338,average distance from 90d lows,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
top20_30d_high_pct,participation_breadth,eth_vs_btc_leadership,Expansion Tier 1,0.598562834224599,0.1715496651391117,5.623579346313857,1.0,0.14696457873968227,0.5866228070175439,True,0.7319113087007967,share of top-20 making 30d highs,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
downside_to_upside_volatility_ratio,volatility_structure,eth_vs_btc_leadership,Expansion Tier 1,0.5941844919786097,-0.1528968364839084,-4.5282520166154265,0.8666666666666667,-0.14771988108758988,0.6030701754385964,True,0.7482088272677994,downside-to-upside volatility balance,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
top20_above_30dma_pct,participation_breadth,eth_vs_btc_leadership,Expansion Tier 1,0.5896724598930481,0.14587787719746653,5.539202339864869,0.9333333333333333,0.2746277254969504,0.6907894736842106,True,0.8258277308113414,share of top-20 above 30d moving average,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
dispersion_acceleration,volatility_structure,eth_30d_upside,Expansion Tier 1,0.585980763625765,-0.13368877874252627,-6.4308793217031095,1.0,-0.10176638665675246,0.5821114369501466,True,0.412956739051581,cross-sectional dispersion acceleration,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
risk_appetite_recovery_score,macro_recovery,btc_eth_50_50_30d_upside,Expansion Tier 1,0.5811418449380024,-0.13047629715773326,-4.832027193321169,0.8,-0.02079844784053446,0.5174603174603174,True,0.6771837412528583,combined macro risk-appetite recovery score,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
volume_confirmation_of_price_trend,volume_attention,eth_vs_btc_leadership,Expansion Tier 1,0.5804812834224599,0.13070835846334256,4.9831761032511555,0.9333333333333333,0.19365484859663565,0.6348684210526315,True,0.8461642852020412,volume breadth confirming price breadth,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
volatility_of_volatility,volatility_structure,btc_eth_50_50_30d_upside,Expansion Tier 1,0.5688104646409592,0.11064740565013487,1.420575824194105,0.8,0.2004214064633321,0.6682539682539682,True,0.2721017006746691,volatility-of-volatility,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
tvl_acceleration,liquidity_inflow,eth_vs_btc_leadership,Expansion Tier 1,0.5592245989304813,0.09614378788129371,7.540736175300471,1.0,0.0801458929305009,0.555921052631579,True,0.799318906504004,acceleration in DeFi liquidity,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
market_dollar_volume_growth_30d,volume_attention,eth_vs_btc_leadership,Expansion Tier 1,0.5486631016042781,0.07899850742390724,2.0858050437682465,0.8,0.13986244060420744,0.5975877192982456,True,0.7377900193998209,market dollar-volume growth,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
combined_crypto_liquidity_impulse,liquidity_inflow,eth_30d_upside,Expansion Tier 1,0.5456863888079277,0.07103632565386776,3.045427463444873,0.8666666666666667,0.08722833142007355,0.5703812316715542,True,0.799318906504004,joint stablecoin and TVL liquidity impulse,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
stablecoin_supply_acceleration,liquidity_inflow,eth_30d_upside,Expansion Tier 1,0.5417516758962402,0.0649183645927691,3.287047777534916,0.8666666666666667,0.13447701093928005,0.6085043988269795,True,0.6398391727778391,acceleration in stablecoin liquidity,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
eth_btc_relative_strength_14d,leadership,btc_eth_50_50_30d_upside,Expansion Tier 1,0.5389017577326611,-0.0625541273527,-4.017694000926193,0.8666666666666667,-0.04726919963757833,0.5396825396825398,True,0.6183744425206463,ETH/BTC 14d relative strength,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
