config,model,feature,importance,method
btc_30d_gt_15__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.9018403925299736,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_level,0.5908473386341166,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,dow_vol_level,0.5792289118556189,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,equity_momentum_21d,-0.32335626076861984,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.302301559524168,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,volatility_expansion_probability,0.23440216325181107,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_5d,-0.22719848986668278,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.21919119318177924,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_21d,-0.14302953511201147,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,tvl_growth_30d,-0.04247247825139647,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,volatility_4h_7d,0.00380208628172579,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.7131745620479353,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.5254290290232173,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_level,0.45600768620452065,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.27600210974805556,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.23975849785310602,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.2076593463801282,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.20152744150651986,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.17943855734498151,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.05750980828115576,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.0,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.0,coefficient
btc_30d_gt_15__random_forest,random_forest,tvl_growth_30d,0.13869338540755619,model_importance
btc_30d_gt_15__random_forest,random_forest,dow_vol_level,0.136372221938481,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_level,0.12344254790138944,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_change_21d,0.09566281420627364,model_importance
btc_30d_gt_15__random_forest,random_forest,volatility_expansion_probability,0.09513707944108753,model_importance
btc_30d_gt_15__random_forest,random_forest,volatility_4h_7d,0.08365622884436939,model_importance
btc_30d_gt_15__random_forest,random_forest,cross_sectional_dispersion,0.08129434534482581,model_importance
btc_30d_gt_15__random_forest,random_forest,equity_realized_vol_21d,0.06985077146054677,model_importance
btc_30d_gt_15__random_forest,random_forest,equity_momentum_21d,0.0669492231579433,model_importance
btc_30d_gt_15__random_forest,random_forest,stablecoin_supply_change_7d,0.061505472174357464,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_change_5d,0.04743591012316955,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,tvl_growth_30d,0.16462109066335717,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_level,0.1622696272400816,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,volatility_4h_7d,0.1473445502310699,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.11713464335426767,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_momentum_21d,0.09653663758265543,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.08370112849212978,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_21d,0.08282163139910123,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,dow_vol_level,0.06103488631642025,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.03370087553866776,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_5d,0.031915793831022235,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.018919135351227027,model_importance
btc_30d_gt_15__xgboost,xgboost,dow_vol_level,0.10703261941671371,model_importance
btc_30d_gt_15__xgboost,xgboost,tvl_growth_30d,0.10053357481956482,model_importance
btc_30d_gt_15__xgboost,xgboost,volatility_4h_7d,0.09858311712741852,model_importance
btc_30d_gt_15__xgboost,xgboost,volatility_expansion_probability,0.09706483781337738,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_change_21d,0.09592805802822113,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_level,0.09405525028705597,model_importance
btc_30d_gt_15__xgboost,xgboost,equity_realized_vol_21d,0.0873170867562294,model_importance
btc_30d_gt_15__xgboost,xgboost,stablecoin_supply_change_7d,0.08648095279932022,model_importance
btc_30d_gt_15__xgboost,xgboost,cross_sectional_dispersion,0.08210118114948273,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_change_5d,0.07982804626226425,model_importance
btc_30d_gt_15__xgboost,xgboost,equity_momentum_21d,0.07107526063919067,model_importance
eth_30d_gt_20__logistic_regression,logistic_regression,dow_vol_level,0.6332020474574962,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.46943121989065345,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_5d,-0.263341446054574,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.25518293538274806,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_4h_7d,0.24883447242138562,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,equity_momentum_21d,-0.24768058461627018,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.16255508538515176,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_21d,-0.09427819715307419,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_level,0.019624754219186438,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_expansion_probability,0.018049049452470153,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,tvl_growth_30d,0.013483435650440401,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.5470704859698993,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.3330507259632668,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.23104728245666278,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.20431646310107004,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.19332872011423666,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.15391431088854726,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.14312377804228268,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.008056339616866028,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_level,0.0,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.0,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.0,coefficient
