family,candidate,fold,test_groups,fold_sharpe
convex,convex_upside_t40_7d,0,"0,1",1.6124889618041247
convex,convex_upside_t40_7d,1,"0,2",-0.10356939000700233
convex,convex_upside_t40_7d,2,"0,3",1.266469139555741
convex,convex_upside_t40_7d,3,"0,4",1.0548954020971282
convex,convex_upside_t40_7d,4,"0,5",0.9106656817842107
convex,convex_upside_t40_7d,5,"1,2",0.22172091061418842
convex,convex_upside_t40_7d,6,"1,3",1.559255328037384
convex,convex_upside_t40_7d,7,"1,4",1.4460066613955376
convex,convex_upside_t40_7d,8,"1,5",1.2934181174090846
convex,convex_upside_t40_7d,9,"2,3",-0.14963467794789226
convex,convex_upside_t40_7d,10,"2,4",-1.0288055362422197
convex,convex_upside_t40_7d,11,"2,5",-1.1139337363461168
convex,convex_upside_t40_7d,12,"3,4",0.9834158294940305
convex,convex_upside_t40_7d,13,"3,5",0.8432868121588095
convex,convex_upside_t40_7d,14,"4,5",0.4450889036863715
convex,convex_upside_t50_7d,0,"0,1",1.7690372948508846
convex,convex_upside_t50_7d,1,"0,2",-0.14479167190627673
convex,convex_upside_t50_7d,2,"0,3",1.2640421988162507
convex,convex_upside_t50_7d,3,"0,4",1.0189293141185682
convex,convex_upside_t50_7d,4,"0,5",0.9868971674064057
convex,convex_upside_t50_7d,5,"1,2",0.2832532719453345
convex,convex_upside_t50_7d,6,"1,3",1.6865841489575353
convex,convex_upside_t50_7d,7,"1,4",1.607896164607228
convex,convex_upside_t50_7d,8,"1,5",1.5549992970767148
convex,convex_upside_t50_7d,9,"2,3",-0.21867907639847353
convex,convex_upside_t50_7d,10,"2,4",-1.2183112146035897
convex,convex_upside_t50_7d,11,"2,5",-1.1625310584025859
convex,convex_upside_t50_7d,12,"3,4",0.9114515758416576
convex,convex_upside_t50_7d,13,"3,5",0.8834866465742836
convex,convex_upside_t50_7d,14,"4,5",0.4937064361813926
convex,convex_upside_t60_7d,0,"0,1",1.7080308681926601
convex,convex_upside_t60_7d,1,"0,2",-0.10726661451511553
convex,convex_upside_t60_7d,2,"0,3",1.2881093714921479
convex,convex_upside_t60_7d,3,"0,4",1.0300592111297595
convex,convex_upside_t60_7d,4,"0,5",0.9573569851702807
convex,convex_upside_t60_7d,5,"1,2",0.23844066413381756
convex,convex_upside_t60_7d,6,"1,3",1.6556165076920069
convex,convex_upside_t60_7d,7,"1,4",1.550447668067502
convex,convex_upside_t60_7d,8,"1,5",1.4542238499819322
convex,convex_upside_t60_7d,9,"2,3",-0.16598527676888986
convex,convex_upside_t60_7d,10,"2,4",-1.1474745641209614
convex,convex_upside_t60_7d,11,"2,5",-1.1458483342471588
convex,convex_upside_t60_7d,12,"3,4",0.9593795942440242
convex,convex_upside_t60_7d,13,"3,5",0.8883993167615076
convex,convex_upside_t60_7d,14,"4,5",0.4498421707858982
convex,convex_upside_t40_14d,0,"0,1",2.219873219212971
convex,convex_upside_t40_14d,1,"0,2",0.12650080388375665
convex,convex_upside_t40_14d,2,"0,3",1.5664571298121992
convex,convex_upside_t40_14d,3,"0,4",1.5941701988858554
convex,convex_upside_t40_14d,4,"0,5",1.2778183676706993
convex,convex_upside_t40_14d,5,"1,2",0.2653665624215713
convex,convex_upside_t40_14d,6,"1,3",1.709636404464967
convex,convex_upside_t40_14d,7,"1,4",1.8119079082843
convex,convex_upside_t40_14d,8,"1,5",1.4745160393547097
convex,convex_upside_t40_14d,9,"2,3",-0.20822177932840075
convex,convex_upside_t40_14d,10,"2,4",-1.049271811050542
convex,convex_upside_t40_14d,11,"2,5",-1.20566534817884
convex,convex_upside_t40_14d,12,"3,4",0.969513088584222
convex,convex_upside_t40_14d,13,"3,5",0.7322024918218464
convex,convex_upside_t40_14d,14,"4,5",0.32121238252402595
convex,convex_upside_t50_14d,0,"0,1",2.217050770181333
convex,convex_upside_t50_14d,1,"0,2",0.10393799298287856
convex,convex_upside_t50_14d,2,"0,3",1.5136480747668961
convex,convex_upside_t50_14d,3,"0,4",1.5760814310925066
convex,convex_upside_t50_14d,4,"0,5",1.3566363790233502
convex,convex_upside_t50_14d,5,"1,2",0.25293183395412977
convex,convex_upside_t50_14d,6,"1,3",1.653510807679974
convex,convex_upside_t50_14d,7,"1,4",1.7796108075845516
convex,convex_upside_t50_14d,8,"1,5",1.5540903063856026
convex,convex_upside_t50_14d,9,"2,3",-0.29139740866261354
convex,convex_upside_t50_14d,10,"2,4",-1.1614499683195718
convex,convex_upside_t50_14d,11,"2,5",-1.3220201926171908
convex,convex_upside_t50_14d,12,"3,4",0.876002068671523
convex,convex_upside_t50_14d,13,"3,5",0.7034352155835913
convex,convex_upside_t50_14d,14,"4,5",0.39781681622371196
convex,convex_upside_t60_14d,0,"0,1",2.217050770181333
convex,convex_upside_t60_14d,1,"0,2",0.18135775765339845
convex,convex_upside_t60_14d,2,"0,3",1.4595894150830213
convex,convex_upside_t60_14d,3,"0,4",1.5888121266712663
convex,convex_upside_t60_14d,4,"0,5",1.37746982621366
convex,convex_upside_t60_14d,5,"1,2",0.33072684099856264
convex,convex_upside_t60_14d,6,"1,3",1.59962190102991
convex,convex_upside_t60_14d,7,"1,4",1.793414777085278
convex,convex_upside_t60_14d,8,"1,5",1.575946032328369
convex,convex_upside_t60_14d,9,"2,3",-0.28078461285110307
convex,convex_upside_t60_14d,10,"2,4",-1.0585162525574838
convex,convex_upside_t60_14d,11,"2,5",-1.2116029013955434
convex,convex_upside_t60_14d,12,"3,4",0.812167175640816
convex,convex_upside_t60_14d,13,"3,5",0.647644108910068
convex,convex_upside_t60_14d,14,"4,5",0.48991883299599337
relative,relative_winner_e40_b40_7d,0,"0,1",1.7321157765453354
relative,relative_winner_e40_b40_7d,1,"0,2",-0.05529544790136238
relative,relative_winner_e40_b40_7d,2,"0,3",1.205860893283849
relative,relative_winner_e40_b40_7d,3,"0,4",1.0495641437550354
relative,relative_winner_e40_b40_7d,4,"0,5",0.9886188549676778
relative,relative_winner_e40_b40_7d,5,"1,2",0.26454056711894236
relative,relative_winner_e40_b40_7d,6,"1,3",1.6256864229504553
relative,relative_winner_e40_b40_7d,7,"1,4",1.6437179181619863
relative,relative_winner_e40_b40_7d,8,"1,5",1.5436610415429737
relative,relative_winner_e40_b40_7d,9,"2,3",-0.31820238721458804
relative,relative_winner_e40_b40_7d,10,"2,4",-1.1144996006415406
relative,relative_winner_e40_b40_7d,11,"2,5",-1.0923344354421347
relative,relative_winner_e40_b40_7d,12,"3,4",0.8705987852610493
relative,relative_winner_e40_b40_7d,13,"3,5",0.8020702915020351
relative,relative_winner_e40_b40_7d,14,"4,5",0.604029737197029
relative,relative_winner_e40_b50_7d,0,"0,1",1.7483393732519603
relative,relative_winner_e40_b50_7d,1,"0,2",-0.0454042909113227
relative,relative_winner_e40_b50_7d,2,"0,3",1.207171943699948
relative,relative_winner_e40_b50_7d,3,"0,4",1.0555972271797847
relative,relative_winner_e40_b50_7d,4,"0,5",0.976372010912846
relative,relative_winner_e40_b50_7d,5,"1,2",0.2936633314371105
relative,relative_winner_e40_b50_7d,6,"1,3",1.6457210906862283
relative,relative_winner_e40_b50_7d,7,"1,4",1.6712637320891932
relative,relative_winner_e40_b50_7d,8,"1,5",1.5494178144075412
relative,relative_winner_e40_b50_7d,9,"2,3",-0.3073244811741996
relative,relative_winner_e40_b50_7d,10,"2,4",-1.0711307093366835
relative,relative_winner_e40_b50_7d,11,"2,5",-1.0720633324800342
relative,relative_winner_e40_b50_7d,12,"3,4",0.8800039665395697
relative,relative_winner_e40_b50_7d,13,"3,5",0.7898177966270152
relative,relative_winner_e40_b50_7d,14,"4,5",0.5804508744598884
relative,relative_winner_e40_b60_7d,0,"0,1",1.7250277843631119
relative,relative_winner_e40_b60_7d,1,"0,2",-0.05516688142428187
relative,relative_winner_e40_b60_7d,2,"0,3",1.2187206685984247
