split,model,feature_set,bin,mean_predicted_probability,observed_frequency
development,boosted_tree,price_derivatives,1,0.11441677276577268,0.18253968253968253
development,boosted_tree,price_derivatives,2,0.2049834129810333,0.24
development,boosted_tree,price_derivatives,3,0.31219351338222623,0.25
development,boosted_tree,price_derivatives,4,0.44485086153765196,0.48360655737704916
development,boosted_tree,price_derivatives,5,0.5765006499290466,0.528
development,boosted_tree,price_derivatives,6,0.6688057017326355,0.544
development,boosted_tree,price_derivatives,7,0.727228581905365,0.672
development,boosted_tree,price_derivatives,8,0.7758824687004089,0.712
development,boosted_tree,price_derivatives,9,0.8118368644714355,0.776
development,boosted_tree,price_derivatives,10,0.8603609587465014,0.8095238095238095
development,boosted_tree,price_liquidity,1,0.13466419196791118,0.15873015873015872
development,boosted_tree,price_liquidity,2,0.24728866600990296,0.184
development,boosted_tree,price_liquidity,3,0.3415228307247162,0.344
development,boosted_tree,price_liquidity,4,0.45989023089408876,0.48
development,boosted_tree,price_liquidity,5,0.5847874755859375,0.496
development,boosted_tree,price_liquidity,6,0.6817079873085022,0.536
development,boosted_tree,price_liquidity,7,0.7388952231407165,0.704
development,boosted_tree,price_liquidity,8,0.7861691756248474,0.736
development,boosted_tree,price_liquidity,9,0.8271759673366397,0.7480314960629921
development,boosted_tree,price_liquidity,10,0.8679078235741584,0.8064516129032258
development,boosted_tree,price_only,1,0.13168320881705436,0.16666666666666666
development,boosted_tree,price_only,2,0.24033701825141907,0.152
development,boosted_tree,price_only,3,0.3351631090641022,0.352
development,boosted_tree,price_only,4,0.4570269088745117,0.488
development,boosted_tree,price_only,5,0.5829014105796814,0.504
development,boosted_tree,price_only,6,0.6724242334365844,0.552
development,boosted_tree,price_only,7,0.7304029297828675,0.664
development,boosted_tree,price_only,8,0.7764762616157532,0.744
development,boosted_tree,price_only,9,0.8176441411972046,0.784
development,boosted_tree,price_only,10,0.8643342346426041,0.7857142857142857
development,elastic_net,price_derivatives,1,0.12765647640079994,0.1349206349206349
development,elastic_net,price_derivatives,2,0.25882189202890143,0.216
development,elastic_net,price_derivatives,3,0.3526049425169972,0.256
development,elastic_net,price_derivatives,4,0.42782860409025414,0.44
development,elastic_net,price_derivatives,5,0.5078748378062985,0.552
development,elastic_net,price_derivatives,6,0.5969115358868943,0.544
development,elastic_net,price_derivatives,7,0.6811255577940035,0.672
development,elastic_net,price_derivatives,8,0.7830833852941401,0.816
development,elastic_net,price_derivatives,9,0.8651071722759035,0.8
development,elastic_net,price_derivatives,10,0.9444322203660603,0.7619047619047619
development,elastic_net,price_liquidity,1,0.1366481628512737,0.11904761904761904
development,elastic_net,price_liquidity,2,0.2728466062831871,0.192
development,elastic_net,price_liquidity,3,0.3744950389850273,0.312
development,elastic_net,price_liquidity,4,0.4518869549183524,0.448
development,elastic_net,price_liquidity,5,0.535309768378154,0.544
development,elastic_net,price_liquidity,6,0.6176317441438675,0.552
development,elastic_net,price_liquidity,7,0.7061337247125964,0.672
development,elastic_net,price_liquidity,8,0.8002947619143161,0.8
development,elastic_net,price_liquidity,9,0.88364185209219,0.824
development,elastic_net,price_liquidity,10,0.9535236591617984,0.7301587301587301
development,elastic_net,price_only,1,0.11882615447942706,0.16666666666666666
development,elastic_net,price_only,2,0.2572674962818842,0.184
development,elastic_net,price_only,3,0.34724952122628033,0.272
development,elastic_net,price_only,4,0.4219219935648067,0.424
development,elastic_net,price_only,5,0.5097214897294385,0.544
development,elastic_net,price_only,6,0.5941366849795657,0.504
development,elastic_net,price_only,7,0.6776110004810993,0.704
development,elastic_net,price_only,8,0.7793672990471997,0.84
development,elastic_net,price_only,9,0.8570072807430621,0.808
development,elastic_net,price_only,10,0.9400785298764351,0.746031746031746
development,har,price_only,1,0.16130925359112588,0.1111111111111111
development,har,price_only,2,0.28812954139150854,0.176
development,har,price_only,3,0.35835339460813476,0.352
development,har,price_only,4,0.432863234543616,0.456
development,har,price_only,5,0.517812297805935,0.448
development,har,price_only,6,0.5969295967038871,0.6
development,har,price_only,7,0.6721846163740226,0.696
development,har,price_only,8,0.7559712007239481,0.856
development,har,price_only,9,0.8483643995222475,0.768
development,har,price_only,10,0.936457281243214,0.7301587301587301
holdout,boosted_tree,price_derivatives,1,0.12546450333161788,0.09090909090909091
holdout,boosted_tree,price_derivatives,2,0.25135767459869385,0.23076923076923078
holdout,boosted_tree,price_derivatives,3,0.3853004198029356,0.07547169811320754
holdout,boosted_tree,price_derivatives,4,0.45689449107871866,0.3018867924528302
holdout,boosted_tree,price_derivatives,5,0.5310593612913815,0.5471698113207547
holdout,boosted_tree,price_derivatives,6,0.6081986753445752,0.6037735849056604
holdout,boosted_tree,price_derivatives,7,0.6696585124393679,0.7358490566037735
holdout,boosted_tree,price_derivatives,8,0.7301258501016868,0.7358490566037735
holdout,boosted_tree,price_derivatives,9,0.7808597740137352,0.8301886792452831
holdout,boosted_tree,price_derivatives,10,0.8486930862912592,0.9622641509433962
holdout,boosted_tree,price_liquidity,1,0.14694098728122534,0.09259259259259259
holdout,boosted_tree,price_liquidity,2,0.26632140295685464,0.24528301886792453
holdout,boosted_tree,price_liquidity,3,0.430854413306938,0.1320754716981132
holdout,boosted_tree,price_liquidity,4,0.4991038375430637,0.2777777777777778
holdout,boosted_tree,price_liquidity,5,0.5652318436365861,0.4807692307692308
holdout,boosted_tree,price_liquidity,6,0.6374164433391006,0.5925925925925926
holdout,boosted_tree,price_liquidity,7,0.7161870128833331,0.6730769230769231
holdout,boosted_tree,price_liquidity,8,0.7553259145538762,0.8490566037735849
holdout,boosted_tree,price_liquidity,9,0.7860792798024637,0.7962962962962963
holdout,boosted_tree,price_liquidity,10,0.8297769484611658,0.9807692307692307
holdout,boosted_tree,price_only,1,0.1270739696919918,0.09259259259259259
holdout,boosted_tree,price_only,2,0.26425897625257383,0.16981132075471697
holdout,boosted_tree,price_only,3,0.40493271710737694,0.18867924528301888
holdout,boosted_tree,price_only,4,0.47707693756751296,0.2830188679245283
holdout,boosted_tree,price_only,5,0.5566961236719815,0.5094339622641509
holdout,boosted_tree,price_only,6,0.639051081999293,0.6226415094339622
holdout,boosted_tree,price_only,7,0.7175867591264113,0.6415094339622641
holdout,boosted_tree,price_only,8,0.7628575383492235,0.8301886792452831
holdout,boosted_tree,price_only,9,0.8045140212436892,0.7735849056603774
holdout,boosted_tree,price_only,10,0.8660073685196211,1.0
holdout,elastic_net,price_derivatives,1,0.11535267686933476,0.07407407407407407
holdout,elastic_net,price_derivatives,2,0.2607505412932352,0.16981132075471697
holdout,elastic_net,price_derivatives,3,0.35108938038941573,0.11320754716981132
holdout,elastic_net,price_derivatives,4,0.4232593493967214,0.32075471698113206
holdout,elastic_net,price_derivatives,5,0.4936648976461319,0.4528301886792453
holdout,elastic_net,price_derivatives,6,0.5677974140369344,0.6226415094339622
holdout,elastic_net,price_derivatives,7,0.652639317166331,0.7735849056603774
holdout,elastic_net,price_derivatives,8,0.7234965106652225,0.7735849056603774
holdout,elastic_net,price_derivatives,9,0.7882114134515253,0.8301886792452831
holdout,elastic_net,price_derivatives,10,0.9004625761708319,0.9811320754716981
holdout,elastic_net,price_liquidity,1,0.1233026810548967,0.05555555555555555
holdout,elastic_net,price_liquidity,2,0.28357053547277633,0.20754716981132076
holdout,elastic_net,price_liquidity,3,0.37485495524486884,0.11320754716981132
holdout,elastic_net,price_liquidity,4,0.46043024838297364,0.3018867924528302
holdout,elastic_net,price_liquidity,5,0.5268874965057457,0.4716981132075472
holdout,elastic_net,price_liquidity,6,0.5979242509185072,0.6226415094339622
holdout,elastic_net,price_liquidity,7,0.6829651097151604,0.6792452830188679
holdout,elastic_net,price_liquidity,8,0.7532269703329059,0.8490566037735849
holdout,elastic_net,price_liquidity,9,0.8195126457208545,0.8301886792452831
holdout,elastic_net,price_liquidity,10,0.9131314019048837,0.9811320754716981
holdout,elastic_net,price_only,1,0.10213902137539332,0.037037037037037035
holdout,elastic_net,price_only,2,0.24028360722100167,0.20754716981132076
holdout,elastic_net,price_only,3,0.3330980710047099,0.09433962264150944
holdout,elastic_net,price_only,4,0.4142232167463563,0.37735849056603776
holdout,elastic_net,price_only,5,0.49002532726723935,0.4716981132075472
