split,refit_date,model,feature_set,feature,importance,normalized_importance
holdout,2025-01-01,har,price_only,har_log_rv_1,0.05634263973441589,0.11612429533274127
holdout,2025-01-01,har,price_only,har_log_rv_7,0.16660939256543073,0.34338821181746465
holdout,2025-01-01,har,price_only,har_log_rv_30,0.26224048984181475,0.540487492849794
holdout,2025-01-01,elastic_net,price_only,har_log_rv_1,0.07828110349634775,0.02541912348510788
holdout,2025-01-01,elastic_net,price_only,har_log_rv_7,0.6872918912592665,0.22317464463243958
holdout,2025-01-01,elastic_net,price_only,har_log_rv_30,0.24044125136607336,0.0780751111878901
holdout,2025-01-01,elastic_net,price_only,rv_ratio_1_7,0.06091825965468488,0.01978113102011325
holdout,2025-01-01,elastic_net,price_only,rv_ratio_7_30,0.5966578188945283,0.1937443150318231
holdout,2025-01-01,elastic_net,price_only,log_downside_semivariance_7,0.1160369031377393,0.03767903412124627
holdout,2025-01-01,elastic_net,price_only,log_upside_semivariance_7,0.20030280545727536,0.06504151728736898
holdout,2025-01-01,elastic_net,price_only,jump_share_7,0.06855825271464722,0.022261958682763795
holdout,2025-01-01,elastic_net,price_only,market_return_1,0.0921029547098937,0.02990729913794988
holdout,2025-01-01,elastic_net,price_only,market_return_7,0.1547933105995806,0.050263858084000745
holdout,2025-01-01,elastic_net,price_only,market_return_30,0.00895518954934837,0.0029078929501556417
holdout,2025-01-01,elastic_net,price_only,market_drawdown,0.4006852473070095,0.13010889378217635
holdout,2025-01-01,elastic_net,price_only,breadth_20,0.12849313813648663,0.04172377239716305
holdout,2025-01-01,elastic_net,price_only,cross_sectional_dispersion_1,0.13673047393022983,0.04439856677763862
holdout,2025-01-01,elastic_net,price_only,cross_sectional_dispersion_7,0.018525282888313753,0.006015454973198905
holdout,2025-01-01,elastic_net,price_only,average_correlation_30,0.0908407047977111,0.029497426448963922
holdout,2025-01-01,elastic_net,price_only,first_eigenvalue_share_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,har_log_rv_1,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,har_log_rv_7,1.1975825899550507,0.476920197262745
holdout,2025-01-01,elastic_net,price_liquidity,har_log_rv_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,rv_ratio_1_7,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,rv_ratio_7_30,0.24605366266029294,0.09798736414293754
holdout,2025-01-01,elastic_net,price_liquidity,log_downside_semivariance_7,0.030032180365677022,0.011959887780905875
holdout,2025-01-01,elastic_net,price_liquidity,log_upside_semivariance_7,0.1738302284986725,0.06922541089122426
holdout,2025-01-01,elastic_net,price_liquidity,jump_share_7,0.008559063769741714,0.0034085251536621307
holdout,2025-01-01,elastic_net,price_liquidity,market_return_1,0.03731822411588017,0.014861450856185968
holdout,2025-01-01,elastic_net,price_liquidity,market_return_7,0.034603627004949004,0.013780401248005909
holdout,2025-01-01,elastic_net,price_liquidity,market_return_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,market_drawdown,0.451068180894855,0.17963147395069937
holdout,2025-01-01,elastic_net,price_liquidity,breadth_20,0.05538478835733029,0.02205620256196673
holdout,2025-01-01,elastic_net,price_liquidity,cross_sectional_dispersion_1,0.021729736903577955,0.008653558007144142
holdout,2025-01-01,elastic_net,price_liquidity,cross_sectional_dispersion_7,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,average_correlation_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,first_eigenvalue_share_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,log_dollar_volume,0.23698348165983765,0.09437529383711564
holdout,2025-01-01,elastic_net,price_liquidity,dollar_volume_change_1,3.543708059833638e-07,1.4112312262328997e-07
holdout,2025-01-01,elastic_net,price_liquidity,dollar_volume_change_7,0.012834986939494798,0.005111350611132687
holdout,2025-01-01,elastic_net,price_liquidity,dollar_volume_change_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,amihud_illiquidity,0.005094325631524729,0.0020287425731519877
holdout,2025-01-01,elastic_net,price_liquidity,high_low_spread,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,volume_concentration,0.0,0.0
holdout,2025-01-01,elastic_net,price_liquidity,zero_volume_share,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,har_log_rv_1,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,har_log_rv_7,1.0447485698570633,0.44813864077722393
holdout,2025-01-01,elastic_net,price_derivatives,har_log_rv_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,rv_ratio_1_7,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,rv_ratio_7_30,0.3116858433264625,0.1336957754313401
holdout,2025-01-01,elastic_net,price_derivatives,log_downside_semivariance_7,0.03572246958683609,0.015322939344191355
holdout,2025-01-01,elastic_net,price_derivatives,log_upside_semivariance_7,0.1707191081766149,0.07322893880910998
holdout,2025-01-01,elastic_net,price_derivatives,jump_share_7,0.014837500972866105,0.006364457162569429
holdout,2025-01-01,elastic_net,price_derivatives,market_return_1,0.03559353708148385,0.015267634518353248
holdout,2025-01-01,elastic_net,price_derivatives,market_return_7,0.06322794277083582,0.027121247302917185
holdout,2025-01-01,elastic_net,price_derivatives,market_return_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,market_drawdown,0.32579068769161695,0.1397459639307983
holdout,2025-01-01,elastic_net,price_derivatives,breadth_20,0.052560985175944534,0.022545719739900872
holdout,2025-01-01,elastic_net,price_derivatives,cross_sectional_dispersion_1,0.05884788306889945,0.025242446931247466
holdout,2025-01-01,elastic_net,price_derivatives,cross_sectional_dispersion_7,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,average_correlation_30,0.05797278113209918,0.024867077197501055
holdout,2025-01-01,elastic_net,price_derivatives,first_eigenvalue_share_30,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_rate_coverage,0.02642906489927312,0.011336589072903644
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_mean,0.02427194020913385,0.010411303358697537
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_abs,0.10889828359201525,0.04671126642324586
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_dispersion,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_sum_3,0.0,0.0
holdout,2025-01-01,elastic_net,price_derivatives,deriv_funding_sum_7,0.0,0.0
holdout,2025-01-01,boosted_tree,price_only,har_log_rv_1,0.03460113704204559,0.0346011353019054
holdout,2025-01-01,boosted_tree,price_only,har_log_rv_7,0.18481314182281494,0.18481313252830026
holdout,2025-01-01,boosted_tree,price_only,har_log_rv_30,0.06648606061935425,0.06648605727567608
holdout,2025-01-01,boosted_tree,price_only,rv_ratio_1_7,0.025805354118347168,0.025805352820559357
holdout,2025-01-01,boosted_tree,price_only,rv_ratio_7_30,0.11706693470478058,0.1170669288173186
holdout,2025-01-01,boosted_tree,price_only,log_downside_semivariance_7,0.06422140449285507,0.06422140126306967
holdout,2025-01-01,boosted_tree,price_only,log_upside_semivariance_7,0.08250316977500916,0.08250316562580788
holdout,2025-01-01,boosted_tree,price_only,jump_share_7,0.0702771320939064,0.07027712855956988
holdout,2025-01-01,boosted_tree,price_only,market_return_1,0.011681610718369484,0.011681610130884734
holdout,2025-01-01,boosted_tree,price_only,market_return_7,0.033189430832862854,0.033189429163719364
holdout,2025-01-01,boosted_tree,price_only,market_return_30,0.03888917341828346,0.038889171462491844
holdout,2025-01-01,boosted_tree,price_only,market_drawdown,0.05997470021247864,0.05997469719626601
holdout,2025-01-01,boosted_tree,price_only,breadth_20,0.03431869298219681,0.03431869125626113
holdout,2025-01-01,boosted_tree,price_only,cross_sectional_dispersion_1,0.027819231152534485,0.027819229753465943
holdout,2025-01-01,boosted_tree,price_only,cross_sectional_dispersion_7,0.04141572490334511,0.04141572282048964
holdout,2025-01-01,boosted_tree,price_only,average_correlation_30,0.05275186151266098,0.05275185885969514
holdout,2025-01-01,boosted_tree,price_only,first_eigenvalue_share_30,0.05418528988957405,0.05418528716451907
holdout,2025-01-01,boosted_tree,price_liquidity,har_log_rv_1,0.0,0.0
holdout,2025-01-01,boosted_tree,price_liquidity,har_log_rv_7,0.17199403047561646,0.17199402599052271
