split,model,feature_set,observations,positive_rate,auc,precision,recall,brier_score,mean_probability
development,boosted_tree,price_derivatives,1252,0.5191693290734825,0.7517122412471249,0.6731770833333334,0.7953846153846154,0.20434723598000784,0.5492885614664981
development,boosted_tree,price_liquidity,1252,0.5191693290734825,0.753435982622029,0.6717752234993615,0.8092307692307692,0.20425791532061377,0.5668309143961618
development,boosted_tree,price_only,1252,0.5191693290734825,0.7583439815997955,0.6774193548387096,0.8076923076923077,0.20145313585196614,0.5607389772173982
development,elastic_net,price_derivatives,1252,0.5191693290734825,0.7659851776130846,0.7063037249283668,0.7584615384615384,0.1984609578172882,0.5545151092286731
development,elastic_net,price_liquidity,1252,0.5191693290734825,0.7620853565039611,0.6906377204884667,0.7830769230769231,0.2012158772117758,0.5731962508004061
development,elastic_net,price_only,1252,0.5191693290734825,0.7672323025811398,0.7037037037037037,0.76,0.19764468703784316,0.5502854121289982
development,har,price_only,1252,0.5191693290734825,0.7641707130079222,0.6879334257975035,0.7630769230769231,0.1996181079616607,0.5568247752382501
holdout,boosted_tree,price_derivatives,531,0.5103578154425612,0.8400369003690038,0.7371794871794872,0.8487084870848709,0.17154185107445924,0.5377458112837007
holdout,boosted_tree,price_liquidity,531,0.5103578154425612,0.8371487368719842,0.6878612716763006,0.8782287822878229,0.17859163744403542,0.5621844881026534
holdout,boosted_tree,price_only,531,0.5103578154425612,0.8388802157252342,0.7272727272727273,0.8856088560885609,0.1731240071759733,0.561186469165282
holdout,elastic_net,price_derivatives,531,0.5103578154425612,0.8574084586999716,0.7762237762237763,0.8191881918819188,0.1610619175873288,0.5268959110403213
holdout,elastic_net,price_liquidity,531,0.5103578154425612,0.8579193868861766,0.7483870967741936,0.8560885608856088,0.16242576065216316,0.552770313238219
holdout,elastic_net,price_only,531,0.5103578154425612,0.8566988362191315,0.7785714285714286,0.8044280442804428,0.15922804921063569,0.526132796513045
holdout,har,price_only,531,0.5103578154425612,0.8219699120068125,0.7245901639344262,0.8154981549815498,0.1779483549158467,0.5398282346240761
