split,refit_date,test_end,model,feature_set,parameters,cpcv_brier,train_observations,train_end,max_train_label_end
development,2021-07-29,2022-01-28,har,price_only,{},,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,elastic_net,price_only,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.18280680254252815,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,elastic_net,price_liquidity,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.18425505960305766,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,elastic_net,price_derivatives,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.18524995802644942,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,boosted_tree,price_only,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.1944023141607728,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,boosted_tree,price_liquidity,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.1961060274655647,723,2021-07-21,2021-07-28
development,2021-07-29,2022-01-28,boosted_tree,price_derivatives,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.18711599188496694,723,2021-07-21,2021-07-28
development,2022-01-29,2022-07-28,har,price_only,{},,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,elastic_net,price_only,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.18444396770502347,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,elastic_net,price_liquidity,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.18826079635964985,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,elastic_net,price_derivatives,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.19781823367111673,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,boosted_tree,price_only,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.18810116992149664,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,boosted_tree,price_liquidity,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.19145762098331476,907,2022-01-21,2022-01-28
development,2022-01-29,2022-07-28,boosted_tree,price_derivatives,"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03}",0.19124938617015028,907,2022-01-21,2022-01-28
development,2022-07-29,2023-01-28,har,price_only,{},,1088,2022-07-21,2022-07-28
development,2022-07-29,2023-01-28,elastic_net,price_only,"{""C"": 0.05, ""l1_ratio"": 0.9}",0.1806090900176011,1088,2022-07-21,2022-07-28
