split,cost_bps,portfolio,reference,delta_sharpe,delta_sortino,delta_cagr,delta_max_drawdown,delta_calmar,delta_turnover
development,10,breakout_risk_off_sizing,standalone_volatility_breakout,0.044455651434938126,0.11396924991814938,-0.0048395490355701565,0.009556325324837522,0.13683966120444113,-0.0008792966339921937
development,10,breakout_activation,standalone_volatility_breakout,-0.9379013148402254,-0.9111837855328841,-0.11009411590895435,-0.013032545306031595,-1.4043378637836421,-0.005431309904153355
development,10,breakout_volatility_targeted,standalone_volatility_breakout,0.0779241496443086,0.22172645165211768,0.00021452695856005732,0.009960277109009597,0.21925438170119804,-0.0008148891660190241
development,10,trend_risk_off_sizing,standalone_trend_following,0.16044612213087137,0.20081798125696232,0.08928074706489919,0.2519848197062772,0.14797930729929354,-0.011691651309963205
development,10,trend_volatility_targeted,standalone_trend_following,0.1491885399947617,0.18387107208892356,0.08483970436920185,0.1480099887385785,0.12403565705838375,-0.0029631607484920178
development,10,volatility_regime_switching,standalone_volatility_breakout,-0.5254526997133214,-0.41011199735588644,0.018326284951726057,-0.3129508281807468,-1.154402223983201,0.034176209630472174
development,25,breakout_risk_off_sizing,standalone_volatility_breakout,0.045598056006487475,0.11409379872422198,-0.004284705174262715,0.010300671451861088,0.11894491498596649,-0.0008792966339921937
development,25,breakout_activation,standalone_volatility_breakout,-0.9262319186846881,-0.8945290287696016,-0.10658899273762268,-0.008583524990542157,-1.2281266915849527,-0.005431309904153355
development,25,breakout_volatility_targeted,standalone_volatility_breakout,0.07942027187172318,0.22226959153715786,0.0007093591283964251,0.010685594337441207,0.1912570876586086,-0.0008148891660190241
development,25,trend_risk_off_sizing,standalone_trend_following,0.14765896170315973,0.18348289958461997,0.09365935117002355,0.24768157633387788,0.13886131701085613,-0.011691651309963205
development,25,trend_volatility_targeted,standalone_trend_following,0.13665661428901799,0.1674420496743029,0.08438599458969642,0.143947234693644,0.11430968033571831,-0.0029631607484920178
development,25,volatility_regime_switching,standalone_volatility_breakout,-0.5654818748819396,-0.46112311123534067,-0.00279620391818014,-0.3243156673230101,-1.035290989758775,0.034176209630472174
development,50,breakout_risk_off_sizing,standalone_volatility_breakout,0.04747493800982272,0.11287036150930652,-0.0033697317309453467,0.011424376434919892,0.09611497931427171,-0.0008792966339921937
development,50,breakout_activation,standalone_volatility_breakout,-0.905873346733431,-0.8621370144498205,-0.10079203463091058,-0.001284442953005449,-1.0033021873733308,-0.005431309904153355
development,50,breakout_volatility_targeted,standalone_volatility_breakout,0.08186240937922551,0.21997135866880635,0.0015251784877474694,0.011486157587599077,0.15188890892326357,-0.0008148891660190241
development,50,trend_risk_off_sizing,standalone_trend_following,0.12632631258226212,0.15491045389836813,0.10045195112858807,0.2405453719754962,0.12620638531296546,-0.011691651309963205
development,50,trend_volatility_targeted,standalone_trend_following,0.11574031179343723,0.14057235688745323,0.0835703428917236,0.13739136507537975,0.10039990571928675,-0.0029631607484920178
development,50,volatility_regime_switching,standalone_volatility_breakout,-0.6312955358579282,-0.5413088636704887,-0.0367339609301216,-0.34207490738759305,-0.8902703337674035,0.034176209630472174
development,100,breakout_risk_off_sizing,standalone_volatility_breakout,0.05109121834930952,0.10712352542900172,-0.0015760333330259169,0.014011380946111873,0.06860723326459839,-0.0008792966339921937
development,100,breakout_activation,standalone_volatility_breakout,-0.8618331388422551,-0.7824521678455385,-0.08936522038927486,0.015520754636878964,-0.6951845902585287,-0.005431309904153355
development,100,breakout_volatility_targeted,standalone_volatility_breakout,0.08649861440959572,0.2081281333926941,0.0031237816733586943,0.013964862674878398,0.10916570401278647,-0.0008148891660190241
development,100,trend_risk_off_sizing,standalone_trend_following,0.0837731174325914,0.09830063420077483,0.11226641189485376,0.2264615624192785,0.10812240107622177,-0.011691651309963205
development,100,trend_volatility_targeted,standalone_trend_following,0.0739796498507995,0.0871451292602003,0.08173987727333276,0.1250620619866245,0.0792617349847087,-0.0029631607484920178
development,100,volatility_regime_switching,standalone_volatility_breakout,-0.7590103946482611,-0.6874609208488827,-0.10006852987832715,-0.379509308841674,-0.7009213564130069,0.034176209630472174
holdout,10,breakout_risk_off_sizing,standalone_volatility_breakout,0.033641213015736554,0.026395509866204106,0.0026505953251474423,0.015010509043611564,0.041734500977265374,-0.0013043042188482217
holdout,10,breakout_activation,standalone_volatility_breakout,-1.0346416720438185,-0.29480795664425774,-0.05478617883041936,0.034078314154466494,-0.740865022966197,-0.009060252278260943
holdout,10,breakout_volatility_targeted,standalone_volatility_breakout,0.09337810525500123,0.07747202710139918,0.008372319713408682,0.017405022862135966,0.11043359735679004,-0.0005775986974274356
holdout,10,trend_risk_off_sizing,standalone_trend_following,0.10473999122314814,0.06465012144002602,0.15095935921038373,0.2065606206927626,0.06333844730780025,-0.012393914174490109
holdout,10,trend_volatility_targeted,standalone_trend_following,0.2538528230798639,0.21676137808372364,0.14011097980837972,0.18205370937375065,0.07525254628787337,-0.004802904064787242
holdout,10,volatility_regime_switching,standalone_volatility_breakout,-0.12303071477041123,-0.07696524207926046,-0.024511827601560565,-0.04698780362809041,-0.18414699626672468,0.015669979543418
holdout,25,breakout_risk_off_sizing,standalone_volatility_breakout,0.03424325256254181,0.02457501168201609,0.0033541997545551983,0.015418754297130688,0.03697810928475623,-0.0013043042188482217
holdout,25,breakout_activation,standalone_volatility_breakout,-0.9973183790285172,-0.25852752904095067,-0.049677483828353575,0.035327545783421566,-0.6795734111204585,-0.009060252278260943
holdout,25,breakout_volatility_targeted,standalone_volatility_breakout,0.09193229210749822,0.07068191069731963,0.00863479064612549,0.01768669202385187,0.09638563815188803,-0.0005775986974274356
holdout,25,trend_risk_off_sizing,standalone_trend_following,0.0922587722476671,0.04847185903129547,0.15322274231375943,0.20687160915200675,0.059761883821402684,-0.012393914174490109
holdout,25,trend_volatility_targeted,standalone_trend_following,0.2416569096635589,0.1993352005218888,0.13914368151690992,0.17890816207868432,0.06826884169153591,-0.004802904064787242
holdout,25,volatility_regime_switching,standalone_volatility_breakout,-0.1323489590556173,-0.09845761862291516,-0.032723236725035965,-0.04556192280407778,-0.21430930146843344,0.015669979543418
holdout,50,breakout_risk_off_sizing,standalone_volatility_breakout,0.035197853121032456,0.021452650230034488,0.00450798363068583,0.016092844724903577,0.029935360340131667,-0.0013043042188482217
holdout,50,breakout_activation,standalone_volatility_breakout,-0.9349543401192721,-0.1976345858840644,-0.041253758838298404,0.03710261389893499,-0.5840539108602639,-0.009060252278260943
holdout,50,breakout_volatility_targeted,standalone_volatility_breakout,0.08949187141521642,0.05904256874028302,0.009063858012347437,0.01815153188384655,0.07602060923125538,-0.0005775986974274356
holdout,50,trend_risk_off_sizing,standalone_trend_following,0.07166386780262668,0.023094248356089864,0.15669552145998877,0.20704412049097287,0.05543662903763358,-0.012393914174490109
holdout,50,trend_volatility_targeted,standalone_trend_following,0.22136612531916833,0.17215776941608352,0.13748585898175925,0.17372496997019926,0.05945620219612624,-0.004802904064787242
holdout,50,volatility_regime_switching,standalone_volatility_breakout,-0.14818530528461243,-0.1323931137570861,-0.04600579620902101,-0.04572905870001742,-0.26000499960256945,0.015669979543418
holdout,100,breakout_risk_off_sizing,standalone_volatility_breakout,0.036913184496413565,0.015908704363480963,0.006745838723607456,0.017417543268364866,0.018455853041665082,-0.0013043042188482217
holdout,100,breakout_activation,standalone_volatility_breakout,-0.8112097474752169,-0.08200455423106845,-0.024742706657314484,0.040248199911491866,-0.41928733656032463,-0.009060252278260943
holdout,100,breakout_volatility_targeted,standalone_volatility_breakout,0.08469112230408374,0.03821691419569678,0.009891100896519789,0.019064086827004445,0.04408377465000546,-0.0005775986974274356
holdout,100,trend_risk_off_sizing,standalone_trend_following,0.0314969877916611,-0.027429807968005315,0.1625848470646547,0.20621848724079417,0.050681517445941515,-0.012393914174490109
holdout,100,trend_volatility_targeted,standalone_trend_following,0.18116244803949777,0.11748183854962602,0.13401848572116726,0.16359771940640888,0.04844065476608994,-0.004802904064787242
holdout,100,volatility_regime_switching,standalone_volatility_breakout,-0.1816643894973342,-0.20063916689643618,-0.07110745821201803,-0.07807819230163648,-0.24471125610088768,0.015669979543418
