portfolio,method,floor,threshold,target_probability,low_threshold,high_threshold,low_regime,base_strategy,selection_cost_bps,median_cpcv_sharpe,development_turnover,cpcv_fold_count,cpcv_sharpe_min,cpcv_sharpe_max,selected
breakout_risk_off_sizing,risk_off_sizing,0.25,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,-0.05631471530190521,0.006307796998981887,28,-0.9316614277342519,2.939517172455961,False
breakout_risk_off_sizing,risk_off_sizing,0.5,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,-0.06075104171761802,0.0071870936329740814,28,-0.931661427734252,2.9139933660933273,False
breakout_risk_off_sizing,risk_off_sizing,0.75,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,-0.0546761730687215,0.008066390266966273,28,-0.9316614277342518,2.8778549826633926,True
trend_risk_off_sizing,risk_off_sizing,0.25,0.5,0.5,0.4,0.6,trend,trend_following,25,0.22271824352032624,0.03497977548052271,28,-2.427194702815722,1.8018327479708818,True
trend_risk_off_sizing,risk_off_sizing,0.5,0.5,0.5,0.4,0.6,trend,trend_following,25,0.18582878753690552,0.03852299484731134,28,-2.6965736098687705,1.912860509717483,False
trend_risk_off_sizing,risk_off_sizing,0.75,0.5,0.5,0.4,0.6,trend,trend_following,25,0.1981387438204699,0.042466181473827545,28,-2.841154801474165,1.9728902620893563,False
breakout_activation,breakout_activation,1.0,0.4,0.5,0.4,0.6,trend,volatility_breakout,25,0.0,0.0044728434504792336,28,-0.2691061938677475,0.21347323522157197,False
breakout_activation,breakout_activation,1.0,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,0.0,0.003514376996805112,28,-0.2703053497766851,0.8139074502708595,True
breakout_activation,breakout_activation,1.0,0.6,0.5,0.4,0.6,trend,volatility_breakout,25,-0.13122656353394868,0.003194888178913738,28,-1.046525052641343,0.7003661965819092,False
breakout_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.4,0.4,0.6,trend,volatility_breakout,25,-0.0858152527656219,0.007595253640926377,28,-0.931661427734252,2.9403310178159905,False
breakout_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,-0.03022977572107396,0.008130797734939443,28,-0.931661427734252,2.9095628344289106,True
breakout_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.6,0.4,0.6,trend,volatility_breakout,25,-0.03771554588788196,0.00857188539992634,28,-0.931661427734252,2.885147029499484,False
breakout_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.4,0.4,0.6,trend,volatility_breakout,25,-0.0858152527656219,0.007595253640926377,28,-0.931661427734252,2.9403310178159905,False
breakout_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.5,0.4,0.6,trend,volatility_breakout,25,-0.03022977572107396,0.008130797734939443,28,-0.931661427734252,2.9095628344289106,False
breakout_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.6,0.4,0.6,trend,volatility_breakout,25,-0.03771554588788196,0.00857188539992634,28,-0.931661427734252,2.885147029499484,False
trend_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.4,0.4,0.6,trend,trend_following,25,0.27368615033378685,0.043891552551353255,28,-2.4161192576729005,1.7344943227841039,False
trend_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.5,0.4,0.6,trend,trend_following,25,0.2071770944331014,0.045792960098155304,28,-2.5615980082949563,1.7766560468435142,False
trend_volatility_targeted,volatility_targeted_sizing,0.25,0.5,0.6,0.4,0.6,trend,trend_following,25,0.20074431834038317,0.04670620833420656,28,-2.6946577343779836,1.8503918629650022,False
trend_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.4,0.4,0.6,trend,trend_following,25,0.2762392543756326,0.0437082660419939,28,-2.4977334948620125,1.7754575860021429,True
trend_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.5,0.4,0.6,trend,trend_following,25,0.2071770944331014,0.045792960098155304,28,-2.5615980082949563,1.7766560468435142,False
trend_volatility_targeted,volatility_targeted_sizing,0.5,0.5,0.6,0.4,0.6,trend,trend_following,25,0.20074431834038317,0.04670620833420656,28,-2.6946577343779836,1.8503918629650022,False
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.35,0.55,trend,combined,25,0.6177137542394209,0.03786136015791905,28,-1.5833482668056778,1.3373039969552454,False
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.35,0.55,cash,combined,25,0.4514333470184756,0.016310134309977926,28,-1.1995715291761606,1.958165108184606,False
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.4,0.6,trend,combined,25,0.7332651697198358,0.04312189653143064,28,-1.644779715177724,1.8047160519110912,True
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.4,0.6,cash,combined,25,0.5124841490398543,0.017813625733467377,28,-0.6312684074270452,1.6065177908934414,False
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.45,0.65,trend,combined,25,0.32452148120511204,0.04670277979822292,28,-1.7514102902775253,1.578347245167416,False
volatility_regime_switching,strategy_switching,1.0,0.5,0.5,0.45,0.65,cash,combined,25,0.013799707224508073,0.015698909959248105,28,-0.7647193415054953,1.3977389092555492,False
