split,portfolio,category,cost_bps,start,end,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs
development,standalone_volatility_breakout,standalone,10,2021-07-29,2024-12-31,0.11944864343489825,1.1258963424686315,0.9868623341700516,1.5056122595122603,0.1050126102118698,-0.07933559432731596,0.05351437699680511,0.008945686900958467,0.11182108626198083,0.011200000000000002
holdout,standalone_volatility_breakout,standalone,10,2025-01-01,2026-06-15,0.007613972094191901,0.12656191061662744,0.079854837488345,0.07273457694759039,0.09622393108865984,-0.10468160280464989,0.0696798493408663,0.012826730621010472,0.14500941619585686,0.006810993959756559
development,standalone_volatility_breakout,standalone,25,2021-07-29,2024-12-31,0.11400515326000238,1.0814908666653378,0.9576478008654606,1.30544776639601,0.1047956609396172,-0.08733030627088201,0.05351437699680511,0.008945686900958467,0.11182108626198083,0.028000000000000004
holdout,standalone_volatility_breakout,standalone,25,2025-01-01,2026-06-15,0.0005310140116059348,0.0533996479283609,0.03389156233284908,0.004908917660914132,0.09654838094694763,-0.10817333845991828,0.0696798493408663,0.012826730621010472,0.14500941619585686,0.0170274848993914
development,standalone_volatility_breakout,standalone,50,2021-07-29,2024-12-31,0.10498339347897101,1.0064166376019417,0.9036459468206135,1.0444757025736484,0.1045020590337526,-0.10051300688018483,0.052715654952076675,0.008945686900958467,0.11182108626198083,0.05600000000000001
holdout,standalone_volatility_breakout,standalone,50,2025-01-01,2026-06-15,-0.011175903169882928,-0.06736556802889536,-0.04304269814847197,-0.0980637518410588,0.09721200804308229,-0.11396569027867476,0.0696798493408663,0.012826730621010472,0.14500941619585686,0.0340549697987828
development,standalone_volatility_breakout,standalone,100,2021-07-29,2024-12-31,0.0871287242927481,0.8528840975713503,0.7786594492142291,0.6754742579787927,0.10417210560494357,-0.1289889633299447,0.052715654952076675,0.008945686900958467,0.11182108626198083,0.11200000000000002
holdout,standalone_volatility_breakout,standalone,100,2025-01-01,2026-06-15,-0.03422623449711859,-0.30263785656638453,-0.1951744066860861,-0.27282986546530824,0.09898803098952234,-0.12544900258168634,0.06591337099811675,0.012826730621010472,0.14500941619585686,0.0681099395975656
development,standalone_trend_following,standalone,10,2021-07-29,2024-12-31,-0.03556796905801185,0.16413577216612726,0.19662565365897566,-0.04575191822108518,0.4795075240632263,-0.7774093511475991,0.3682108626198083,0.046671426790485915,0.7252396166134185,0.05843262634168837
holdout,standalone_trend_following,standalone,10,2025-01-01,2026-06-15,-0.3080996489139627,-0.7658021595362214,-0.7601792514746119,-0.648476230640727,0.38352919129909513,-0.4751132491156149,0.3502824858757062,0.04145421234920986,0.7024482109227872,0.022012186757430437
development,standalone_trend_following,standalone,25,2021-07-29,2024-12-31,-0.05995500449117441,0.11083054339714458,0.13264088797079196,-0.07626601226033312,0.4795765672945688,-0.7861300560270376,0.36741214057507987,0.046671426790485915,0.7252396166134185,0.14608156585422094
holdout,standalone_trend_following,standalone,25,2025-01-01,2026-06-15,-0.32371339314102965,-0.8245527039208081,-0.8174888633983295,-0.658391249430665,0.3837276413001834,-0.491673292166256,0.3483992467043315,0.04145421234920986,0.7024482109227872,0.05503046689357609
development,standalone_trend_following,standalone,50,2021-07-29,2024-12-31,-0.09928008678692135,0.022018462971925713,0.026331418212158248,-0.12411145656951572,0.4797816551021539,-0.7999268522911409,0.36182108626198084,0.046671426790485915,0.7252396166134185,0.2921631317084419
holdout,standalone_trend_following,standalone,50,2025-01-01,2026-06-15,-0.34898523348971067,-0.9220909345166677,-0.9118053964939179,-0.6735226436301304,0.3841601947399594,-0.5181492215447449,0.3465160075329567,0.04145421234920986,0.7024482109227872,0.11006093378715218
development,standalone_trend_following,standalone,100,2021-07-29,2024-12-31,-0.17321124471602645,-0.1552691611848434,-0.18526386540019962,-0.20992929446411152,0.4805287715590749,-0.8250932541748612,0.3586261980830671,0.046671426790485915,0.7252396166134185,0.5843262634168838
holdout,standalone_trend_following,standalone,100,2025-01-01,2026-06-15,-0.39682873922361594,-1.1154088955142272,-1.0976405955610375,-0.699710038602283,0.38540536321525054,-0.5671331227665499,0.3427495291902072,0.04145421234920986,0.7024482109227872,0.22012186757430435
development,breakout_risk_off_sizing,forecast_overlay,10,2021-07-29,2024-12-31,0.1146090943993281,1.1703519939035696,1.100831584088201,1.6424519207167014,0.09661065357831333,-0.06977926900247844,0.05351437699680511,0.008066390266966273,0.11182108626198083,0.010099120614241775
holdout,breakout_risk_off_sizing,forecast_overlay,10,2025-01-01,2026-06-15,0.010264567419339343,0.160203123632364,0.10625034735454911,0.11446907792485576,0.0872990982509843,-0.08967109376103832,0.0696798493408663,0.01152242640216225,0.14500941619585686,0.006118408419548155
development,breakout_risk_off_sizing,forecast_overlay,25,2021-07-29,2024-12-31,0.10972044808573966,1.1270889226718253,1.0717415995896826,1.4243926813819765,0.09640066563601411,-0.07702963481902092,0.05351437699680511,0.008066390266966273,0.11182108626198083,0.02524780153560444
holdout,breakout_risk_off_sizing,forecast_overlay,25,2025-01-01,2026-06-15,0.003885213766161133,0.0876429004909027,0.05846657401486517,0.04188702694567036,0.08759477073341908,-0.09275458416278759,0.0696798493408663,0.01152242640216225,0.14500941619585686,0.015296021048870389
development,breakout_risk_off_sizing,forecast_overlay,50,2021-07-29,2024-12-31,0.10161366174802566,1.0538915756117644,1.01651630832992,1.1405906818879201,0.0961119185331161,-0.08908863044526494,0.052715654952076675,0.008066390266966273,0.11182108626198083,0.05049560307120888
holdout,breakout_risk_off_sizing,forecast_overlay,50,2025-01-01,2026-06-15,-0.006667919539197098,-0.0321677149078629,-0.02159004791843748,-0.06812839150092713,0.08819881440714523,-0.09787284555377118,0.0696798493408663,0.01152242640216225,0.14500941619585686,0.030592042097740777
development,breakout_risk_off_sizing,forecast_overlay,100,2021-07-29,2024-12-31,0.08555269095972218,0.9039753159206598,0.8857829746432309,0.7440814912433911,0.09576630854411505,-0.11497758238383282,0.052715654952076675,0.008066390266966273,0.11182108626198083,0.10099120614241776
holdout,breakout_risk_off_sizing,forecast_overlay,100,2025-01-01,2026-06-15,-0.027480395773511135,-0.26572467206997097,-0.17926570232260514,-0.25437401242364316,0.08981319767974864,-0.10803145931332148,0.06591337099811675,0.01152242640216225,0.14500941619585686,0.061184084195481554
development,trend_risk_off_sizing,forecast_overlay,10,2021-07-29,2024-12-31,0.05371277800688734,0.32458189429699863,0.397443634915938,0.10222738907820836,0.2899632579597178,-0.525424531441322,0.36741214057507987,0.03497977548052271,0.7252396166134185,0.04379467890161444
holdout,trend_risk_off_sizing,forecast_overlay,10,2025-01-01,2026-06-15,-0.15714028970357896,-0.6610621683130733,-0.6955291300345858,-0.5851377833329268,0.22148966619038804,-0.2685526284228523,0.3483992467043315,0.02906029817471975,0.7024482109227872,0.015431018330776187
development,trend_risk_off_sizing,forecast_overlay,25,2021-07-29,2024-12-31,0.03370434667884914,0.25848950510030433,0.31612378755541193,0.06259530475052302,0.2900133080467569,-0.5384484796931597,0.365814696485623,0.03497977548052271,0.7252396166134185,0.10948669725403609
holdout,trend_risk_off_sizing,forecast_overlay,25,2025-01-01,2026-06-15,-0.17049065082727022,-0.732293931673141,-0.769017004367034,-0.5986293656092623,0.22167185227184327,-0.28480168301424924,0.3465160075329567,0.02906029817471975,0.7024482109227872,0.038577545826940465
development,trend_risk_off_sizing,forecast_overlay,50,2021-07-29,2024-12-31,0.0011718643416667174,0.14834477555418785,0.1812418721105264,0.0020949287434497547,0.29017773752205506,-0.5593814803156447,0.35942492012779553,0.03497977548052271,0.7252396166134185,0.21897339450807218
holdout,trend_risk_off_sizing,forecast_overlay,50,2025-01-01,2026-06-15,-0.1922897120297219,-0.850427066714041,-0.888711148137828,-0.6180860145924968,0.22206075243527945,-0.311105101053772,0.3465160075329567,0.02906029817471975,0.7024482109227872,0.07715509165388093
development,trend_risk_off_sizing,forecast_overlay,100,2021-07-29,2024-12-31,-0.06094483282117269,-0.071496043752252,-0.0869632311994248,-0.10180689338788974,0.2908096422855251,-0.5986316917555827,0.3570287539936102,0.03497977548052271,0.7252396166134185,0.43794678901614437
holdout,trend_risk_off_sizing,forecast_overlay,100,2025-01-01,2026-06-15,-0.23424389215896124,-1.083911907722566,-1.1250704035290429,-0.6490285211563415,0.22315606717794464,-0.36091463552575576,0.3408662900188324,0.02906029817471975,0.7024482109227872,0.15431018330776186
development,breakout_activation,forecast_overlay,10,2021-07-29,2024-12-31,0.009354527525943901,0.18799502762840603,0.0756785486371675,0.10127439572861817,0.05861586857169488,-0.09236813963334756,0.018370607028753993,0.003514376996805112,0.04472843450479233,0.0044
holdout,breakout_activation,forecast_overlay,10,2025-01-01,2026-06-15,-0.04717220673622746,-0.908079761427191,-0.21495311915591275,-0.6681304460186067,0.051714546557447505,-0.0706032886501834,0.02824858757062147,0.003766478342749529,0.05273069679849341,0.002
development,breakout_activation,forecast_overlay,25,2021-07-29,2024-12-31,0.0074161605223797,0.15525894798064963,0.06311877209585907,0.07732107481105725,0.05858194032708233,-0.09591383126142417,0.018370607028753993,0.003514376996805112,0.04472843450479233,0.011000000000000001
holdout,breakout_activation,forecast_overlay,25,2025-01-01,2026-06-15,-0.04914646981674764,-0.9439187311001562,-0.22463596670810157,-0.6746644934595444,0.051935699947092136,-0.07284579267649671,0.02824858757062147,0.003766478342749529,0.05273069679849341,0.005
development,breakout_activation,forecast_overlay,50,2021-07-29,2024-12-31,0.004191358848060434,0.10054329086851065,0.041508932370793006,0.04117351520031765,0.058566825945296004,-0.10179744983319028,0.018370607028753993,0.003514376996805112,0.04472843450479233,0.022000000000000002
holdout,breakout_activation,forecast_overlay,50,2025-01-01,2026-06-15,-0.05242966200818133,-1.0023199081481675,-0.24067728403253638,-0.6821176627013227,0.05233857080374556,-0.07686307637973977,0.02824858757062147,0.003766478342749529,0.05273069679849341,0.01
development,breakout_activation,forecast_overlay,100,2021-07-29,2024-12-31,-0.0022364960965267633,-0.008949041270904734,-0.003792718631309383,-0.01971033227973608,0.058691941070118915,-0.11346820869306573,0.018370607028753993,0.003514376996805112,0.04472843450479233,0.044000000000000004
holdout,breakout_activation,forecast_overlay,100,2025-01-01,2026-06-15,-0.058968941154433074,-1.1138476040416014,-0.27717896091715455,-0.6921172020256329,0.053269239203676946,-0.08520080267019448,0.026365348399246705,0.003766478342749529,0.05273069679849341,0.02
development,breakout_volatility_targeted,forecast_overlay,10,2021-07-29,2024-12-31,0.1196631703934583,1.20382049211294,1.2085887858221693,1.7248666412134583,0.09776712598419451,-0.06937531721830636,0.05351437699680511,0.008130797734939443,0.11182108626198083,0.01017975876414418
holdout,breakout_volatility_targeted,forecast_overlay,10,2025-01-01,2026-06-15,0.015986291807600583,0.21994001587162867,0.15732686458974418,0.18316817430438043,0.0905171204403425,-0.08727657994251392,0.0696798493408663,0.012249131923583036,0.14500941619585686,0.006504289051422592
development,breakout_volatility_targeted,forecast_overlay,25,2021-07-29,2024-12-31,0.1147145123883988,1.160911138537061,1.1799173924026185,1.4967048540546186,0.09754618953659591,-0.0766447119334408,0.05351437699680511,0.008130797734939443,0.11182108626198083,0.02544939691036045
holdout,breakout_volatility_targeted,forecast_overlay,25,2025-01-01,2026-06-15,0.009165804657731424,0.14533194003585911,0.10457347303016871,0.10129455581280215,0.09083988815455094,-0.09048664643606641,0.0696798493408663,0.012249131923583036,0.14500941619585686,0.01626072262855648
development,breakout_volatility_targeted,forecast_overlay,50,2021-07-29,2024-12-31,0.10650857196671848,1.0882790469811672,1.1236173054894198,1.196364611496912,0.09723894373901382,-0.08902684929258575,0.052715654952076675,0.008130797734939443,0.11182108626198083,0.0508987938207209
holdout,breakout_volatility_targeted,forecast_overlay,50,2025-01-01,2026-06-15,-0.0021120451575354915,0.02212630338632105,0.015999870591811047,-0.022043142609803418,0.09150214848466266,-0.09581415839482821,0.0696798493408663,0.012249131923583036,0.14500941619585686,0.03252144525711296
development,breakout_volatility_targeted,forecast_overlay,100,2021-07-29,2024-12-31,0.09025250596610679,0.939382711980946,0.9867875826069232,0.7846399619915791,0.09685551798544302,-0.1150241006550663,0.052715654952076675,0.008130797734939443,0.11182108626198083,0.1017975876414418
holdout,breakout_volatility_targeted,forecast_overlay,100,2025-01-01,2026-06-15,-0.0243351336005988,-0.2179467342623008,-0.15695749249038932,-0.22874609081530278,0.09327995453329341,-0.1063849157546819,0.06591337099811675,0.012249131923583036,0.14500941619585686,0.06504289051422592
development,trend_volatility_targeted,forecast_overlay,10,2021-07-29,2024-12-31,0.04927173531119,0.31332431216088896,0.3804967257478992,0.07828373883729857,0.36365541236410226,-0.6293993624090206,0.36741214057507987,0.0437082660419939,0.7252396166134185,0.05472274908457636
holdout,trend_volatility_targeted,forecast_overlay,10,2025-01-01,2026-06-15,-0.16798866910558297,-0.5119493364563575,-0.5434178733908882,-0.5732236843528536,0.2817234970801688,-0.29305953974186427,0.3502824858757062,0.03665130828442262,0.7024482109227872,0.01946184469902841
development,trend_volatility_targeted,forecast_overlay,25,2021-07-29,2024-12-31,0.02443099009852201,0.24748715768616256,0.30008293764509486,0.03804366807538518,0.36370293766401707,-0.6421828213333935,0.36741214057507987,0.0437082660419939,0.7252396166134185,0.1368068727114409
holdout,trend_volatility_targeted,forecast_overlay,25,2025-01-01,2026-06-15,-0.18456971162411973,-0.5828957942572492,-0.6181536628764407,-0.590122407739129,0.28185955414111336,-0.3127651300875717,0.3465160075329567,0.03665130828442262,0.7024482109227872,0.04865461174757102
development,trend_volatility_targeted,forecast_overlay,50,2021-07-29,2024-12-31,-0.015709743895197747,0.13775877476536294,0.1669037750996115,-0.023711550850228972,0.3638825447354334,-0.6625354872157612,0.36022364217252395,0.0437082660419939,0.7252396166134185,0.2736137454228818
holdout,trend_volatility_targeted,forecast_overlay,50,2025-01-01,2026-06-15,-0.21149937450795142,-0.7007248091974994,-0.7396476270778344,-0.6140664414340041,0.2821921885655418,-0.3444242515745456,0.3465160075329567,0.03665130828442262,0.7024482109227872,0.09730922349514204
development,trend_volatility_targeted,forecast_overlay,100,2021-07-29,2024-12-31,-0.09147136744269369,-0.08128951133404391,-0.09811873613999933,-0.1306675594794028,0.36461742134953856,-0.7000311921882367,0.3570287539936102,0.0437082660419939,0.7252396166134185,0.5472274908457636
holdout,trend_volatility_targeted,forecast_overlay,100,2025-01-01,2026-06-15,-0.2628102535024487,-0.9342464474747294,-0.9801587570114115,-0.651269383836193,0.2832525676966445,-0.40353540336014104,0.3408662900188324,0.03665130828442262,0.7024482109227872,0.19461844699028408
development,volatility_regime_switching,forecast_overlay,10,2021-07-29,2024-12-31,0.1377749283866243,0.60044364275531,0.5767503368141652,0.35121003552905933,0.27989778728277465,-0.3922864225080628,0.21565495207667731,0.04312189653143064,0.4233226837060703,0.05398861445735116
holdout,volatility_regime_switching,forecast_overlay,10,2025-01-01,2026-06-15,-0.016897855507368664,0.0035311958462162147,0.002889595409084541,-0.11141241931913429,0.1888048421072557,-0.1516694064327403,0.19397363465160075,0.02849671016442847,0.3860640301318267,0.015131753097311514
development,volatility_regime_switching,forecast_overlay,25,2021-07-29,2024-12-31,0.11120894934182224,0.5160089917833982,0.49652468963012,0.270156776637235,0.27994397567571494,-0.4116459735938921,0.21485623003194887,0.04312189653143064,0.4233226837060703,0.1349715361433779
holdout,volatility_regime_switching,forecast_overlay,25,2025-01-01,2026-06-15,-0.03219222271343003,-0.07894931112725641,-0.06456605629006608,-0.2094003838075193,0.18917507610365583,-0.15373526126399606,0.192090395480226,0.02849671016442847,0.3860640301318267,0.03782938274327879
development,volatility_regime_switching,forecast_overlay,50,2021-07-29,2024-12-31,0.06824943254884941,0.3751211017440134,0.3623370831501248,0.15420536880624494,0.28018919109236373,-0.4425879142677779,0.21166134185303515,0.04312189653143064,0.4233226837060703,0.2699430722867558
holdout,volatility_regime_switching,forecast_overlay,50,2025-01-01,2026-06-15,-0.05718169937890394,-0.2155508733135078,-0.17543581190555807,-0.35806875144362826,0.18992495523935057,-0.15969474897869218,0.192090395480226,0.02849671016442847,0.3860640301318267,0.07565876548655757
development,volatility_regime_switching,forecast_overlay,100,2021-07-29,2024-12-31,-0.012939805585579056,0.0938737029230892,0.09119852836534645,-0.025447098434214263,0.281307928282174,-0.5084982721716187,0.20607028753993611,0.04312189653143064,0.4233226837060703,0.5398861445735116
holdout,volatility_regime_switching,forecast_overlay,100,2025-01-01,2026-06-15,-0.10533369270913662,-0.48430224606371874,-0.3958135735825223,-0.5175411215661959,0.19191524873441174,-0.20352719488332283,0.18267419962335216,0.02849671016442847,0.3860640301318267,0.15131753097311515
development,btc_buy_hold,benchmark,10,2021-07-29,2024-12-31,0.2609030132592358,0.6943872488534445,0.984274273578243,0.34047442531774164,0.5590359521018756,-0.7662925431645938,0.49440894568690097,0.0007987220447284345,0.9992012779552716,0.001
holdout,btc_buy_hold,benchmark,10,2025-01-01,2026-06-15,-0.21066389993979684,-0.3082639453014281,-0.43298053805660985,-0.41178359738904513,0.44524349042660005,-0.5115888570490235,0.4915254237288136,0.0,1.0,0.0
development,btc_buy_hold,benchmark,25,2021-07-29,2024-12-31,0.26035077420259234,0.6936022765686751,0.9832600888045114,0.33975376183018774,0.5590381542415634,-0.766292543164594,0.49440894568690097,0.0007987220447284345,0.9992012779552716,0.0025
holdout,btc_buy_hold,benchmark,25,2025-01-01,2026-06-15,-0.21066389993979684,-0.3082639453014281,-0.43298053805660985,-0.41178359738904513,0.44524349042660005,-0.5115888570490235,0.4915254237288136,0.0,1.0,0.0
development,btc_buy_hold,benchmark,50,2021-07-29,2024-12-31,0.2594290669180648,0.6922907742725992,0.9815511355033353,0.33855094797959084,0.5590444318885128,-0.7662925431645938,0.49440894568690097,0.0007987220447284345,0.9992012779552716,0.005
holdout,btc_buy_hold,benchmark,50,2025-01-01,2026-06-15,-0.21066389993979684,-0.3082639453014281,-0.43298053805660985,-0.41178359738904513,0.44524349042660005,-0.5115888570490235,0.4915254237288136,0.0,1.0,0.0
development,btc_buy_hold,benchmark,100,2021-07-29,2024-12-31,0.2575807187845789,0.6896557966657729,0.9780636725832683,0.3361388820525852,0.5590667645183438,-0.7662925431645936,0.49440894568690097,0.0007987220447284345,0.9992012779552716,0.01
holdout,btc_buy_hold,benchmark,100,2025-01-01,2026-06-15,-0.21066389993979684,-0.3082639453014281,-0.43298053805660985,-0.41178359738904513,0.44524349042660005,-0.5115888570490235,0.4915254237288136,0.0,1.0,0.0
development,eth_buy_hold,benchmark,10,2021-07-29,2024-12-31,0.09248375075926751,0.4757962176775492,0.6825269873493583,0.11662143120645785,0.6993550069374196,-0.7930253453633338,0.5039936102236422,0.0007987220447284345,0.9992012779552716,0.001
holdout,eth_buy_hold,benchmark,10,2025-01-01,2026-06-15,-0.3468518268780637,-0.22524363439923337,-0.3355286368816391,-0.5137391435402022,0.7266606592515051,-0.6751516430846409,0.4934086629001883,0.0,1.0,0.0
