date,standalone_volatility_breakout__cost_10,standalone_volatility_breakout__cost_25,standalone_volatility_breakout__cost_50,standalone_volatility_breakout__cost_100,standalone_trend_following__cost_10,standalone_trend_following__cost_25,standalone_trend_following__cost_50,standalone_trend_following__cost_100,breakout_risk_off_sizing__cost_10,breakout_risk_off_sizing__cost_25,breakout_risk_off_sizing__cost_50,breakout_risk_off_sizing__cost_100,trend_risk_off_sizing__cost_10,trend_risk_off_sizing__cost_25,trend_risk_off_sizing__cost_50,trend_risk_off_sizing__cost_100,breakout_activation__cost_10,breakout_activation__cost_25,breakout_activation__cost_50,breakout_activation__cost_100,breakout_volatility_targeted__cost_10,breakout_volatility_targeted__cost_25,breakout_volatility_targeted__cost_50,breakout_volatility_targeted__cost_100,trend_volatility_targeted__cost_10,trend_volatility_targeted__cost_25,trend_volatility_targeted__cost_50,trend_volatility_targeted__cost_100,volatility_regime_switching__cost_10,volatility_regime_switching__cost_25,volatility_regime_switching__cost_50,volatility_regime_switching__cost_100,btc_buy_hold__cost_10,btc_buy_hold__cost_25,btc_buy_hold__cost_50,btc_buy_hold__cost_100,eth_buy_hold__cost_10,eth_buy_hold__cost_25,eth_buy_hold__cost_50,eth_buy_hold__cost_100,btc_eth_50_50__cost_10,btc_eth_50_50__cost_25,btc_eth_50_50__cost_50,btc_eth_50_50__cost_100,equal_weight_top10__cost_10,equal_weight_top10__cost_25,equal_weight_top10__cost_50,equal_weight_top10__cost_100
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.0025,-0.005,-0.01,-0.001,-0.0025,-0.005,-0.01,-0.001,-0.0025,-0.005,-0.01,-0.001,-0.0025,-0.005,-0.01
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01764046517148954,-0.01764046517148954,-0.01764046517148954,-0.01764046517148954,0.02812564738952239,0.02812564738952239,0.02812564738952239,0.02812564738952239,0.005242591109016426,0.005242591109016426,0.005242591109016426,0.005242591109016426,0.029501682196994207,0.029501682196994207,0.029501682196994207,0.029501682196994207
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03898501344489613,-0.03898501344489613,-0.03898501344489613,-0.03898501344489613,0.009735090179964878,0.009735090179964878,0.009735090179964878,0.009735090179964878,-0.014624961632465627,-0.014624961632465627,-0.014624961632465627,-0.014624961632465627,-0.012291780042837241,-0.012291780042837241,-0.012291780042837241,-0.012291780042837241
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017508151497385938,-0.017508151497385938,-0.017508151497385938,-0.017508151497385938,0.020049380010877638,0.020049380010877638,0.020049380010877638,0.020049380010877638,0.00127061425674585,0.00127061425674585,0.00127061425674585,0.00127061425674585,0.002109224678950295,0.002109224678950295,0.002109224678950295,0.002109224678950295
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240312231945482,-0.0240312231945482,-0.0240312231945482,-0.0240312231945482,-0.03754991503415894,-0.03754991503415894,-0.03754991503415894,-0.03754991503415894,-0.030790569114353572,-0.030790569114353572,-0.030790569114353572,-0.030790569114353572,-0.009426205328259185,-0.009426205328259185,-0.009426205328259185,-0.009426205328259185
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396819435156599,0.0396819435156599,0.0396819435156599,0.0396819435156599,0.0859850779581035,0.0859850779581035,0.0859850779581035,0.0859850779581035,0.0628335107368817,0.0628335107368817,0.0628335107368817,0.0628335107368817,0.04102540896947298,0.04102540896947298,0.04102540896947298,0.04102540896947298
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028680483284570846,0.028680483284570846,0.028680483284570846,0.028680483284570846,0.037511285314777654,0.037511285314777654,0.037511285314777654,0.037511285314777654,0.03309588429967425,0.03309588429967425,0.03309588429967425,0.03309588429967425,0.014667503107963265,0.014667503107963265,0.014667503107963265,0.014667503107963265
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04831843212572129,0.04831843212572129,0.04831843212572129,0.04831843212572129,0.022847622382817123,0.022847622382817123,0.022847622382817123,0.022847622382817123,0.035583027254269206,0.035583027254269206,0.035583027254269206,0.035583027254269206,0.03186811928786372,0.03186811928786372,0.03186811928786372,0.03186811928786372
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040518133094224584,0.040518133094224584,0.040518133094224584,0.040518133094224584,0.0929353502237531,0.0929353502237531,0.0929353502237531,0.0929353502237531,0.06672674165898884,0.06672674165898884,0.06672674165898884,0.06672674165898884,0.07265472281905433,0.07265472281905433,0.07265472281905433,0.07265472281905433
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017458506964153186,-0.017458506964153186,-0.017458506964153186,-0.017458506964153186,-0.04697640421351068,-0.04697640421351068,-0.04697640421351068,-0.04697640421351068,-0.032217455588831934,-0.032217455588831934,-0.032217455588831934,-0.032217455588831934,-0.04658294853357194,-0.04658294853357194,-0.04658294853357194,-0.04658294853357194
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056149454827184364,0.056149454827184364,0.056149454827184364,0.056149454827184364,0.04936168799907037,0.04936168799907037,0.04936168799907037,0.04936168799907037,0.05275557141312737,0.05275557141312737,0.05275557141312737,0.05275557141312737,0.046043316666919146,0.046043316666919146,0.046043316666919146,0.046043316666919146
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014451045760960346,-0.014451045760960346,-0.014451045760960346,-0.014451045760960346,-0.005967372457696851,-0.005967372457696851,-0.005967372457696851,-0.005967372457696851,-0.010209209109328599,-0.010209209109328599,-0.010209209109328599,-0.010209209109328599,0.028746693750370592,0.028746693750370592,0.028746693750370592,0.028746693750370592
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016231219969555788,-0.0016231219969555788,-0.0016231219969555788,-0.0016231219969555788,0.005996829701495399,0.005996829701495399,0.005996829701495399,0.005996829701495399,0.00218685385226991,0.00218685385226991,0.00218685385226991,0.00218685385226991,0.04982692435527154,0.04982692435527154,0.04982692435527154,0.04982692435527154
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024433653402474165,-0.024433653402474165,-0.024433653402474165,-0.024433653402474165,-0.03624110109159939,-0.03624110109159939,-0.03624110109159939,-0.03624110109159939,-0.03033737724703678,-0.03033737724703678,-0.03033737724703678,-0.03033737724703678,-0.020895778845343584,-0.020895778845343584,-0.020895778845343584,-0.020895778845343584
