test_id,raw_p,rank,bh_threshold,survives_bh,hypothesis,variant,n_trades,sharpe_is,sharpe_holdout
B3_carry_90d+_BTC,0.01931,1,0.00204,False,B3_new_listing_funding,"bucket=90d+,coin=BTC",13,1.98,
B5_oi_BTC_A_short_cover_hold3d,0.02961,2,0.00408,False,B5_oi_price_divergence,BTC_A_short_cover_hold3d,5,7.732477090797412,
B3_carry_0-30d_CASHCAT,0.11574,3,0.00612,False,B3_new_listing_funding,"bucket=0-30d,coin=CASHCAT",1,8.28,
B5_oi_BTC_A_short_cover_hold1d,0.15663,4,0.00816,False,B5_oi_price_divergence,BTC_A_short_cover_hold1d,6,6.535140283101414,
B3_carry_90d+_ETH,0.22517,5,0.0102,False,B3_new_listing_funding,"bucket=90d+,coin=ETH",12,0.72,
B5_oi_SOL_A_short_cover_hold1d,0.53582,6,0.01224,False,B5_oi_price_divergence,SOL_A_short_cover_hold1d,41,-0.2228721568283565,
A2_pairs_pooled_L1,0.67202,7,0.01429,False,A2_pairs_pooled,sector=L1,41,-0.2,
A2_pairs_pooled_all,0.68832,8,0.01633,False,A2_pairs_pooled,all_sectors_pooled,94,-0.32,-0.23
pit_momentum_30d_lo,0.7723,9,0.01837,False,A1_pit_momentum,"lookback=30d,short=False",103,-0.8,-3.37
B5_oi_SOL_A_short_cover_hold3d,0.79163,10,0.02041,False,B5_oi_price_divergence,SOL_A_short_cover_hold3d,41,-1.1623942104372778,
pit_momentum_14d_lo,0.81214,11,0.02245,False,A1_pit_momentum,"lookback=14d,short=False",105,-1.2,-3.01
B5_oi_BTC_B_squeeze_continuation_hold3d,0.82715,12,0.02449,False,B5_oi_price_divergence,BTC_B_squeeze_continuation_hold3d,8,-3.055570117907821,
pit_momentum_30d_ls,0.85001,13,0.02653,False,A1_pit_momentum,"lookback=30d,short=True",103,-0.77,-2.7
pit_momentum_14d_ls,0.87516,14,0.02857,False,A1_pit_momentum,"lookback=14d,short=True",105,-0.4,-1.92
B5_oi_ETH_A_short_cover_hold1d,0.88142,15,0.03061,False,B5_oi_price_divergence,ETH_A_short_cover_hold1d,46,-2.766791519156716,
B3_carry_0-30d_GRAM,0.89054,16,0.03265,False,B3_new_listing_funding,"bucket=0-30d,coin=GRAM",2,-5.8,
B5_oi_ETH_B_squeeze_continuation_hold1d,0.90932,17,0.03469,False,B5_oi_price_divergence,ETH_B_squeeze_continuation_hold1d,54,-2.8873520572281586,
B5_oi_SOL_B_squeeze_continuation_hold3d,0.91606,18,0.03673,False,B5_oi_price_divergence,SOL_B_squeeze_continuation_hold3d,48,-1.824297107058414,
pit_momentum_7d_lo,0.94626,19,0.03878,False,A1_pit_momentum,"lookback=7d,short=False",105,-1.35,-3.2
B5_oi_ETH_B_squeeze_continuation_hold3d,0.95737,20,0.04082,False,B5_oi_price_divergence,ETH_B_squeeze_continuation_hold3d,54,-2.1463638692019176,
B5_oi_SOL_B_squeeze_continuation_hold1d,0.95888,21,0.04286,False,B5_oi_price_divergence,SOL_B_squeeze_continuation_hold1d,48,-3.981945169531718,
B5_oi_BTC_B_squeeze_continuation_hold1d,0.972,22,0.0449,False,B5_oi_price_divergence,BTC_B_squeeze_continuation_hold1d,9,-10.11245031221044,
B5_oi_ETH_A_short_cover_hold3d,0.97791,23,0.04694,False,B5_oi_price_divergence,ETH_A_short_cover_hold3d,45,-2.749324649938654,
B7_ETH_hour_best_bucket22,0.97941,24,0.04898,False,B7_seasonality,ETH_hour_best_bucket22,120,,-17.444336452583997
