test_id,raw_p,rank,bh_threshold,survives_bh,hypothesis,n_trades,sharpe_is,sharpe_holdout
S4_tom_N4_M4,0.0009,1,0.00238,True,S4_turn_of_month,678,0.738,0.757
S3_fomc_full_sample,0.00095,2,0.00476,True,S3_fomc_drift,255,0.55,
S3_fomc_ex_2020_covid,0.00193,3,0.00714,True,S3_fomc_drift,248,0.519,
S4_tom_N3_M3,0.00258,4,0.00952,True,S4_turn_of_month,678,0.661,0.678
S2_overnight_IXIC_overnight,0.00707,5,0.0119,True,S2_overnight_intraday,13977,0.637,0.602
S1_tsmom_GC_lb63,0.00899,6,0.01429,True,S1_tsmom,307,-0.032,0.85
S3_fomc_ex_2008_2009_crisis,0.01318,7,0.01667,True,S3_fomc_drift,239,0.406,
S1_tsmom_BLEND_lb63,0.01615,8,0.01905,True,S1_tsmom,6542,-0.021,0.768
S4_tom_N2_M2,0.02129,9,0.02143,True,S4_turn_of_month,678,0.629,0.492
S8_volpremium_PUT,0.02929,10,0.02381,False,S8_vol_risk_premium,7527,0.674,0.632
S1_tsmom_GC_lb126,0.0595,11,0.02619,False,S1_tsmom,304,0.533,0.56
S2_overnight_SPX_overnight,0.09547,12,0.02857,False,S2_overnight_intraday,4663,0.136,0.555
S2_overnight_DJI_overnight,0.10201,13,0.03095,False,S2_overnight_intraday,7684,-4.019,0.42
S1_tsmom_ES_lb63,0.11382,14,0.03333,False,S1_tsmom,308,0.224,0.433
S1_tsmom_GC_lb252,0.11641,15,0.03571,False,S1_tsmom,298,0.507,0.428
S1_tsmom_CL_lb63,0.12638,16,0.0381,False,S1_tsmom,307,-0.048,0.411
S2_overnight_IXIC_intraday,0.13291,17,0.04048,False,S2_overnight_intraday,13978,-0.156,0.273
S1_tsmom_CL_lb126,0.14067,18,0.04286,False,S1_tsmom,304,0.097,0.387
S1_tsmom_ZN_lb126,0.15652,19,0.04524,False,S1_tsmom,292,-0.116,0.362
S1_tsmom_ZN_lb63,0.20208,20,0.04762,False,S1_tsmom,295,-0.144,0.299
S1_tsmom_ES_lb252,0.20584,21,0.05,False,S1_tsmom,299,0.421,0.295
S6_cot_ES_z1.5,0.20588,22,0.05238,False,S6_cot_positioning,188,-0.239,0.784
S2_overnight_SPX_intraday,0.22669,23,0.05476,False,S2_overnight_intraday,4664,0.174,0.318
S2_overnight_DJI_intraday,0.27388,24,0.05714,False,S2_overnight_intraday,7685,0.394,0.199
S4_tom_N1_M1,0.30108,25,0.05952,False,S4_turn_of_month,678,0.517,0.126
S6_cot_ES_z2.0,0.31382,26,0.0619,False,S6_cot_positioning,88,0.556,0.673
S1_tsmom_BLEND_lb126,0.33539,27,0.06429,False,S1_tsmom,6542,0.157,0.153
S6_cot_GC_z2.0,0.35689,28,0.06667,False,S6_cot_positioning,121,0.879,0.435
S3_fomc_holdout_split,0.40443,29,0.06905,False,S3_fomc_drift,255,0.747,0.078
S1_tsmom_CL_lb252,0.42009,30,0.07143,False,S1_tsmom,298,0.119,0.072
S1_tsmom_ZN_lb252,0.42918,31,0.07381,False,S1_tsmom,286,0.074,0.064
S1_tsmom_HE_lb63,0.45386,32,0.07619,False,S1_tsmom,304,-0.382,0.042
S6_cot_CL_z1.5,0.49043,33,0.07857,False,S6_cot_positioning,165,-0.315,0.024
S1_tsmom_6E_lb63,0.49865,34,0.08095,False,S1_tsmom,308,0.363,0.001
S1_tsmom_BLEND_lb252,0.52847,35,0.08333,False,S1_tsmom,6542,0.329,-0.026
S1_tsmom_ES_lb126,0.58705,36,0.08571,False,S1_tsmom,305,0.416,-0.079
S6_cot_GC_z1.5,0.60382,37,0.0881,False,S6_cot_positioning,280,0.659,-0.207
S1_tsmom_6E_lb252,0.70442,38,0.09048,False,S1_tsmom,299,0.078,-0.193
S1_tsmom_6E_lb126,0.71663,39,0.09286,False,S1_tsmom,305,0.303,-0.206
S6_cot_CL_z2.0,0.89457,40,0.09524,False,S6_cot_positioning,85,-0.628,-1.769
S1_tsmom_HE_lb126,0.97513,41,0.09762,False,S1_tsmom,301,-0.721,-0.705
S1_tsmom_HE_lb252,0.9799,42,0.1,False,S1_tsmom,295,-0.272,-0.737
