fee_scenario,capital_eur,leverage,volume_multiple,duration_months,total_cost_eur,breakeven_airdrop_eur,breakeven_as_multiple_of_capital
cheap_pair (Variational+Extended),500.0,1,10,1,43.09,43.09,0.086
cheap_pair (Variational+Extended),500.0,1,10,3,103.27,103.27,0.207
cheap_pair (Variational+Extended),500.0,1,10,6,193.54,193.54,0.387
cheap_pair (Variational+Extended),500.0,1,10,12,374.08,374.08,0.748
cheap_pair (Variational+Extended),500.0,1,25,1,49.47,49.47,0.099
cheap_pair (Variational+Extended),500.0,1,25,3,122.41,122.41,0.245
cheap_pair (Variational+Extended),500.0,1,25,6,231.82,231.82,0.464
cheap_pair (Variational+Extended),500.0,1,25,12,450.64,450.64,0.901
cheap_pair (Variational+Extended),500.0,1,50,1,60.09,60.09,0.12
cheap_pair (Variational+Extended),500.0,1,50,3,154.27,154.27,0.309
cheap_pair (Variational+Extended),500.0,1,50,6,295.54,295.54,0.591
cheap_pair (Variational+Extended),500.0,1,50,12,578.08,578.08,1.156
cheap_pair (Variational+Extended),500.0,1,100,1,81.34,81.34,0.163
cheap_pair (Variational+Extended),500.0,1,100,3,218.02,218.02,0.436
cheap_pair (Variational+Extended),500.0,1,100,6,423.04,423.04,0.846
cheap_pair (Variational+Extended),500.0,1,100,12,833.08,833.08,1.666
cheap_pair (Variational+Extended),500.0,1,250,1,145.09,145.09,0.29
cheap_pair (Variational+Extended),500.0,1,250,3,409.27,409.27,0.819
cheap_pair (Variational+Extended),500.0,1,250,6,805.54,805.54,1.611
cheap_pair (Variational+Extended),500.0,1,250,12,1598.08,1598.08,3.196
cheap_pair (Variational+Extended),500.0,2,10,1,43.6,43.6,0.087
cheap_pair (Variational+Extended),500.0,2,10,3,104.8,104.8,0.21
cheap_pair (Variational+Extended),500.0,2,10,6,196.6,196.6,0.393
cheap_pair (Variational+Extended),500.0,2,10,12,380.2,380.2,0.76
cheap_pair (Variational+Extended),500.0,2,25,1,49.97,49.97,0.1
cheap_pair (Variational+Extended),500.0,2,25,3,123.91,123.91,0.248
cheap_pair (Variational+Extended),500.0,2,25,6,234.82,234.82,0.47
cheap_pair (Variational+Extended),500.0,2,25,12,456.64,456.64,0.913
cheap_pair (Variational+Extended),500.0,2,50,1,60.6,60.6,0.121
cheap_pair (Variational+Extended),500.0,2,50,3,155.8,155.8,0.312
cheap_pair (Variational+Extended),500.0,2,50,6,298.6,298.6,0.597
cheap_pair (Variational+Extended),500.0,2,50,12,584.2,584.2,1.168
cheap_pair (Variational+Extended),500.0,2,100,1,81.85,81.85,0.164
cheap_pair (Variational+Extended),500.0,2,100,3,219.55,219.55,0.439
cheap_pair (Variational+Extended),500.0,2,100,6,426.1,426.1,0.852
cheap_pair (Variational+Extended),500.0,2,100,12,839.2,839.2,1.678
cheap_pair (Variational+Extended),500.0,2,250,1,145.6,145.6,0.291
cheap_pair (Variational+Extended),500.0,2,250,3,410.8,410.8,0.822
cheap_pair (Variational+Extended),500.0,2,250,6,808.6,808.6,1.617
cheap_pair (Variational+Extended),500.0,2,250,12,1604.2,1604.2,3.208
cheap_pair (Variational+Extended),500.0,3,10,1,44.1,44.1,0.088
cheap_pair (Variational+Extended),500.0,3,10,3,106.3,106.3,0.213
cheap_pair (Variational+Extended),500.0,3,10,6,199.6,199.6,0.399
cheap_pair (Variational+Extended),500.0,3,10,12,386.2,386.2,0.772
cheap_pair (Variational+Extended),500.0,3,25,1,50.47,50.47,0.101
cheap_pair (Variational+Extended),500.0,3,25,3,125.41,125.41,0.251
cheap_pair (Variational+Extended),500.0,3,25,6,237.82,237.82,0.476
cheap_pair (Variational+Extended),500.0,3,25,12,462.64,462.64,0.925
cheap_pair (Variational+Extended),500.0,3,50,1,61.1,61.1,0.122
cheap_pair (Variational+Extended),500.0,3,50,3,157.3,157.3,0.315
cheap_pair (Variational+Extended),500.0,3,50,6,301.6,301.6,0.603
cheap_pair (Variational+Extended),500.0,3,50,12,590.2,590.2,1.18
cheap_pair (Variational+Extended),500.0,3,100,1,82.35,82.35,0.165
cheap_pair (Variational+Extended),500.0,3,100,3,221.05,221.05,0.442
cheap_pair (Variational+Extended),500.0,3,100,6,429.1,429.1,0.858
cheap_pair (Variational+Extended),500.0,3,100,12,845.2,845.2,1.69
cheap_pair (Variational+Extended),500.0,3,250,1,146.1,146.1,0.292
cheap_pair (Variational+Extended),500.0,3,250,3,412.3,412.3,0.825
cheap_pair (Variational+Extended),500.0,3,250,6,811.6,811.6,1.623
cheap_pair (Variational+Extended),500.0,3,250,12,1610.2,1610.2,3.22
cheap_pair (Variational+Extended),1000.0,1,10,1,50.18,50.18,0.05
cheap_pair (Variational+Extended),1000.0,1,10,3,122.54,122.54,0.123
cheap_pair (Variational+Extended),1000.0,1,10,6,231.08,231.08,0.231
cheap_pair (Variational+Extended),1000.0,1,10,12,448.16,448.16,0.448
cheap_pair (Variational+Extended),1000.0,1,25,1,62.93,62.93,0.063
cheap_pair (Variational+Extended),1000.0,1,25,3,160.79,160.79,0.161
cheap_pair (Variational+Extended),1000.0,1,25,6,307.58,307.58,0.308
cheap_pair (Variational+Extended),1000.0,1,25,12,601.16,601.16,0.601
cheap_pair (Variational+Extended),1000.0,1,50,1,84.18,84.18,0.084
cheap_pair (Variational+Extended),1000.0,1,50,3,224.54,224.54,0.225
cheap_pair (Variational+Extended),1000.0,1,50,6,435.08,435.08,0.435
cheap_pair (Variational+Extended),1000.0,1,50,12,856.16,856.16,0.856
cheap_pair (Variational+Extended),1000.0,1,100,1,126.68,126.68,0.127
cheap_pair (Variational+Extended),1000.0,1,100,3,352.04,352.04,0.352
cheap_pair (Variational+Extended),1000.0,1,100,6,690.08,690.08,0.69
cheap_pair (Variational+Extended),1000.0,1,100,12,1366.16,1366.16,1.366
cheap_pair (Variational+Extended),1000.0,1,250,1,254.18,254.18,0.254
cheap_pair (Variational+Extended),1000.0,1,250,3,734.54,734.54,0.735
cheap_pair (Variational+Extended),1000.0,1,250,6,1455.08,1455.08,1.455
cheap_pair (Variational+Extended),1000.0,1,250,12,2896.16,2896.16,2.896
cheap_pair (Variational+Extended),1000.0,2,10,1,51.19,51.19,0.051
cheap_pair (Variational+Extended),1000.0,2,10,3,125.57,125.57,0.126
cheap_pair (Variational+Extended),1000.0,2,10,6,237.14,237.14,0.237
cheap_pair (Variational+Extended),1000.0,2,10,12,460.28,460.28,0.46
cheap_pair (Variational+Extended),1000.0,2,25,1,63.94,63.94,0.064
cheap_pair (Variational+Extended),1000.0,2,25,3,163.82,163.82,0.164
cheap_pair (Variational+Extended),1000.0,2,25,6,313.64,313.64,0.314
cheap_pair (Variational+Extended),1000.0,2,25,12,613.28,613.28,0.613
cheap_pair (Variational+Extended),1000.0,2,50,1,85.19,85.19,0.085
cheap_pair (Variational+Extended),1000.0,2,50,3,227.57,227.57,0.228
cheap_pair (Variational+Extended),1000.0,2,50,6,441.14,441.14,0.441
cheap_pair (Variational+Extended),1000.0,2,50,12,868.28,868.28,0.868
cheap_pair (Variational+Extended),1000.0,2,100,1,127.69,127.69,0.128
cheap_pair (Variational+Extended),1000.0,2,100,3,355.07,355.07,0.355
cheap_pair (Variational+Extended),1000.0,2,100,6,696.14,696.14,0.696
cheap_pair (Variational+Extended),1000.0,2,100,12,1378.28,1378.28,1.378
cheap_pair (Variational+Extended),1000.0,2,250,1,255.19,255.19,0.255
cheap_pair (Variational+Extended),1000.0,2,250,3,737.57,737.57,0.738
cheap_pair (Variational+Extended),1000.0,2,250,6,1461.14,1461.14,1.461
cheap_pair (Variational+Extended),1000.0,2,250,12,2908.28,2908.28,2.908
cheap_pair (Variational+Extended),1000.0,3,10,1,52.2,52.2,0.052
cheap_pair (Variational+Extended),1000.0,3,10,3,128.6,128.6,0.129
cheap_pair (Variational+Extended),1000.0,3,10,6,243.2,243.2,0.243
cheap_pair (Variational+Extended),1000.0,3,10,12,472.4,472.4,0.472
cheap_pair (Variational+Extended),1000.0,3,25,1,64.95,64.95,0.065
cheap_pair (Variational+Extended),1000.0,3,25,3,166.85,166.85,0.167
cheap_pair (Variational+Extended),1000.0,3,25,6,319.7,319.7,0.32
cheap_pair (Variational+Extended),1000.0,3,25,12,625.4,625.4,0.625
cheap_pair (Variational+Extended),1000.0,3,50,1,86.2,86.2,0.086
cheap_pair (Variational+Extended),1000.0,3,50,3,230.6,230.6,0.231
cheap_pair (Variational+Extended),1000.0,3,50,6,447.2,447.2,0.447
cheap_pair (Variational+Extended),1000.0,3,50,12,880.4,880.4,0.88
cheap_pair (Variational+Extended),1000.0,3,100,1,128.7,128.7,0.129
cheap_pair (Variational+Extended),1000.0,3,100,3,358.1,358.1,0.358
cheap_pair (Variational+Extended),1000.0,3,100,6,702.2,702.2,0.702
cheap_pair (Variational+Extended),1000.0,3,100,12,1390.4,1390.4,1.39
cheap_pair (Variational+Extended),1000.0,3,250,1,256.2,256.2,0.256
cheap_pair (Variational+Extended),1000.0,3,250,3,740.6,740.6,0.741
cheap_pair (Variational+Extended),1000.0,3,250,6,1467.2,1467.2,1.467
cheap_pair (Variational+Extended),1000.0,3,250,12,2920.4,2920.4,2.92
cheap_pair (Variational+Extended),2000.0,1,10,1,64.37,64.37,0.032
cheap_pair (Variational+Extended),2000.0,1,10,3,161.11,161.11,0.081
cheap_pair (Variational+Extended),2000.0,1,10,6,306.22,306.22,0.153
cheap_pair (Variational+Extended),2000.0,1,10,12,596.44,596.44,0.298
cheap_pair (Variational+Extended),2000.0,1,25,1,89.87,89.87,0.045
cheap_pair (Variational+Extended),2000.0,1,25,3,237.61,237.61,0.119
cheap_pair (Variational+Extended),2000.0,1,25,6,459.22,459.22,0.23
cheap_pair (Variational+Extended),2000.0,1,25,12,902.44,902.44,0.451
cheap_pair (Variational+Extended),2000.0,1,50,1,132.37,132.37,0.066
cheap_pair (Variational+Extended),2000.0,1,50,3,365.11,365.11,0.183
cheap_pair (Variational+Extended),2000.0,1,50,6,714.22,714.22,0.357
cheap_pair (Variational+Extended),2000.0,1,50,12,1412.44,1412.44,0.706
cheap_pair (Variational+Extended),2000.0,1,100,1,217.37,217.37,0.109
