fee_scenario,capital_eur,leverage,volume_multiple,taker_fee_bps,fee_cost_eur,slippage_cost_eur,funding_cost_eur,rebalance_cost_eur,opportunity_cost_eur,total_monthly_cost_eur,total_monthly_cost_pct_of_capital,exceeds_safe_leverage_BTC
cheap_pair (Variational+Extended),500.0,1,10,1.25,1.25,3.0,0.5,24.0,1.34,30.09,6.02,False
cheap_pair (Variational+Extended),500.0,1,25,1.25,3.12,7.5,0.5,24.0,1.34,36.47,7.29,False
cheap_pair (Variational+Extended),500.0,1,50,1.25,6.25,15.0,0.5,24.0,1.34,47.09,9.42,False
cheap_pair (Variational+Extended),500.0,1,100,1.25,12.5,30.0,0.5,24.0,1.34,68.34,13.67,False
cheap_pair (Variational+Extended),500.0,1,250,1.25,31.25,75.0,0.5,24.0,1.34,132.09,26.42,False
cheap_pair (Variational+Extended),500.0,2,10,1.25,1.25,3.0,1.01,24.0,1.34,30.6,6.12,True
cheap_pair (Variational+Extended),500.0,2,25,1.25,3.12,7.5,1.01,24.0,1.34,36.97,7.39,True
cheap_pair (Variational+Extended),500.0,2,50,1.25,6.25,15.0,1.01,24.0,1.34,47.6,9.52,True
cheap_pair (Variational+Extended),500.0,2,100,1.25,12.5,30.0,1.01,24.0,1.34,68.85,13.77,True
cheap_pair (Variational+Extended),500.0,2,250,1.25,31.25,75.0,1.01,24.0,1.34,132.6,26.52,True
cheap_pair (Variational+Extended),500.0,3,10,1.25,1.25,3.0,1.51,24.0,1.34,31.1,6.22,True
cheap_pair (Variational+Extended),500.0,3,25,1.25,3.12,7.5,1.51,24.0,1.34,37.47,7.49,True
cheap_pair (Variational+Extended),500.0,3,50,1.25,6.25,15.0,1.51,24.0,1.34,48.1,9.62,True
cheap_pair (Variational+Extended),500.0,3,100,1.25,12.5,30.0,1.51,24.0,1.34,69.35,13.87,True
cheap_pair (Variational+Extended),500.0,3,250,1.25,31.25,75.0,1.51,24.0,1.34,133.1,26.62,True
cheap_pair (Variational+Extended),1000.0,1,10,1.25,2.5,6.0,1.01,24.0,2.67,36.18,3.62,False
cheap_pair (Variational+Extended),1000.0,1,25,1.25,6.25,15.0,1.01,24.0,2.67,48.93,4.89,False
cheap_pair (Variational+Extended),1000.0,1,50,1.25,12.5,30.0,1.01,24.0,2.67,70.18,7.02,False
cheap_pair (Variational+Extended),1000.0,1,100,1.25,25.0,60.0,1.01,24.0,2.67,112.68,11.27,False
cheap_pair (Variational+Extended),1000.0,1,250,1.25,62.5,150.0,1.01,24.0,2.67,240.18,24.02,False
cheap_pair (Variational+Extended),1000.0,2,10,1.25,2.5,6.0,2.02,24.0,2.67,37.19,3.72,True
cheap_pair (Variational+Extended),1000.0,2,25,1.25,6.25,15.0,2.02,24.0,2.67,49.94,4.99,True
cheap_pair (Variational+Extended),1000.0,2,50,1.25,12.5,30.0,2.02,24.0,2.67,71.19,7.12,True
cheap_pair (Variational+Extended),1000.0,2,100,1.25,25.0,60.0,2.02,24.0,2.67,113.69,11.37,True
cheap_pair (Variational+Extended),1000.0,2,250,1.25,62.5,150.0,2.02,24.0,2.67,241.19,24.12,True
cheap_pair (Variational+Extended),1000.0,3,10,1.25,2.5,6.0,3.02,24.0,2.67,38.2,3.82,True
cheap_pair (Variational+Extended),1000.0,3,25,1.25,6.25,15.0,3.02,24.0,2.67,50.95,5.09,True
cheap_pair (Variational+Extended),1000.0,3,50,1.25,12.5,30.0,3.02,24.0,2.67,72.2,7.22,True
cheap_pair (Variational+Extended),1000.0,3,100,1.25,25.0,60.0,3.02,24.0,2.67,114.7,11.47,True
cheap_pair (Variational+Extended),1000.0,3,250,1.25,62.5,150.0,3.02,24.0,2.67,242.2,24.22,True
cheap_pair (Variational+Extended),2000.0,1,10,1.25,5.0,12.0,2.02,24.0,5.35,48.37,2.42,False
cheap_pair (Variational+Extended),2000.0,1,25,1.25,12.5,30.0,2.02,24.0,5.35,73.87,3.69,False
cheap_pair (Variational+Extended),2000.0,1,50,1.25,25.0,60.0,2.02,24.0,5.35,116.37,5.82,False
cheap_pair (Variational+Extended),2000.0,1,100,1.25,50.0,120.0,2.02,24.0,5.35,201.37,10.07,False
cheap_pair (Variational+Extended),2000.0,1,250,1.25,125.0,300.0,2.02,24.0,5.35,456.37,22.82,False
cheap_pair (Variational+Extended),2000.0,2,10,1.25,5.0,12.0,4.03,24.0,5.35,50.38,2.52,True
cheap_pair (Variational+Extended),2000.0,2,25,1.25,12.5,30.0,4.03,24.0,5.35,75.88,3.79,True
cheap_pair (Variational+Extended),2000.0,2,50,1.25,25.0,60.0,4.03,24.0,5.35,118.38,5.92,True
