allocation_at_tge_eur,haircut_pct,realized_allocation_eur,tge_probability_pct,sybil_pass_probability_pct,probability_receive_pct,expected_payoff_eur,cost_eur,expected_net_eur
50,0,50.0,100,100,100.0,50.0,307.04,-257.04
50,0,50.0,100,80,80.0,40.0,307.04,-267.04
50,0,50.0,100,50,50.0,25.0,307.04,-282.04
50,0,50.0,50,100,50.0,25.0,307.04,-282.04
50,0,50.0,50,80,40.0,20.0,307.04,-287.04
50,0,50.0,50,50,25.0,12.5,307.04,-294.54
50,0,50.0,25,100,25.0,12.5,307.04,-294.54
50,0,50.0,25,80,20.0,10.0,307.04,-297.04
50,0,50.0,25,50,12.5,6.25,307.04,-300.79
50,-50,25.0,100,100,100.0,25.0,307.04,-282.04
50,-50,25.0,100,80,80.0,20.0,307.04,-287.04
50,-50,25.0,100,50,50.0,12.5,307.04,-294.54
50,-50,25.0,50,100,50.0,12.5,307.04,-294.54
50,-50,25.0,50,80,40.0,10.0,307.04,-297.04
50,-50,25.0,50,50,25.0,6.25,307.04,-300.79
50,-50,25.0,25,100,25.0,6.25,307.04,-300.79
50,-50,25.0,25,80,20.0,5.0,307.04,-302.04
50,-50,25.0,25,50,12.5,3.12,307.04,-303.92
50,-80,10.0,100,100,100.0,10.0,307.04,-297.04
50,-80,10.0,100,80,80.0,8.0,307.04,-299.04
50,-80,10.0,100,50,50.0,5.0,307.04,-302.04
50,-80,10.0,50,100,50.0,5.0,307.04,-302.04
50,-80,10.0,50,80,40.0,4.0,307.04,-303.04
50,-80,10.0,50,50,25.0,2.5,307.04,-304.54
50,-80,10.0,25,100,25.0,2.5,307.04,-304.54
50,-80,10.0,25,80,20.0,2.0,307.04,-305.04
50,-80,10.0,25,50,12.5,1.25,307.04,-305.79
150,0,150.0,100,100,100.0,150.0,307.04,-157.04
150,0,150.0,100,80,80.0,120.0,307.04,-187.04
150,0,150.0,100,50,50.0,75.0,307.04,-232.04
150,0,150.0,50,100,50.0,75.0,307.04,-232.04
150,0,150.0,50,80,40.0,60.0,307.04,-247.04
150,0,150.0,50,50,25.0,37.5,307.04,-269.54
150,0,150.0,25,100,25.0,37.5,307.04,-269.54
150,0,150.0,25,80,20.0,30.0,307.04,-277.04
150,0,150.0,25,50,12.5,18.75,307.04,-288.29
150,-50,75.0,100,100,100.0,75.0,307.04,-232.04
150,-50,75.0,100,80,80.0,60.0,307.04,-247.04
150,-50,75.0,100,50,50.0,37.5,307.04,-269.54
150,-50,75.0,50,100,50.0,37.5,307.04,-269.54
150,-50,75.0,50,80,40.0,30.0,307.04,-277.04
150,-50,75.0,50,50,25.0,18.75,307.04,-288.29
150,-50,75.0,25,100,25.0,18.75,307.04,-288.29
150,-50,75.0,25,80,20.0,15.0,307.04,-292.04
150,-50,75.0,25,50,12.5,9.38,307.04,-297.67
150,-80,30.0,100,100,100.0,30.0,307.04,-277.04
150,-80,30.0,100,80,80.0,24.0,307.04,-283.04
150,-80,30.0,100,50,50.0,15.0,307.04,-292.04
150,-80,30.0,50,100,50.0,15.0,307.04,-292.04
150,-80,30.0,50,80,40.0,12.0,307.04,-295.04
