chain,symbol,liquidity_usd,volume_h24_usd,priceChange_h1_pct,priceChange_h6_pct,priceChange_h24_pct,age_hours,fdv_usd
solana,Spine,0.0,45411.3,838.0,838.0,838.0,0.21509694444444444,21887.11
robinhood,FLY,7648.74,71633.82,284.0,284.0,284.0,0.4603747222222222,9943.0
robinhood,KEK,23125.78,91919.51,16.23,52.6,52.6,4.655096944444445,70302.0
solana,memestonk,0.0,4090.21,254.0,254.0,254.0,0.6137080555555555,7583.86
robinhood,ROBINHOODIES,37037.49,192542.97,1669.0,1669.0,1669.0,0.3770413888888889,131206.0
robinhood,TACT,22538.69,12776.21,1040.0,1040.0,1040.0,0.9931525,40392.0
solana,PIG,3718.37,26174.1,-91.54,-91.54,-91.54,0.2381525,2613.0
solana,CASHCOON,0.0,44317.36,-52.7,-52.7,-52.7,0.42120805555555557,2419.38
robinhood,STOCKCAT,4548.97,293657.82,-59.57,-59.57,-59.57,0.7612080555555556,3020.0
solana,Fwog,6962.89,64732.08,-69.84,-69.84,-69.84,0.43009694444444446,9091.0
bsc,Nova,26601.93,154999.72,7.24,5.28,108.0,10.682041388888889,94245.0
robinhood,STOCKCAT,78966.3,179134.26,571.0,571.0,571.0,0.9003747222222223,128600.0
solana,Jimothy,0.0,92784.5,-40.41,-40.41,-40.41,0.5953747222222222,2161.88
solana,XKAT,1720.13,971.21,26.28,39.86,39.86,1.4084302777777777,2171.0
solana,NERVA,0.0,28085.86,14.38,14.38,14.38,0.6853747222222222,3652.74
robinhood,Relic,3852.11,174758.07,-54.0,-54.0,-54.0,0.9892636111111112,3156.0
solana,PASS,11907.62,99580.59,-13.83,-13.83,-13.83,0.8442636111111111,26564.0
robinhood,HISS,7480.02,15905.06,-33.09,215.0,215.0,1.4534302777777777,9245.0
robinhood,Relic,36839.59,546176.97,-34.87,5344.0,5344.0,1.104263611111111,144109.0
robinhood,SUSHICAT,50852.26,554675.52,-27.51,11958.0,11958.0,2.019541388888889,293370.0
robinhood,NOK,2961.67,7898.31,-78.62,-2.05,-2.05,1.0114858333333334,2905.0
solana,Retail,5065.14,94618.87,-84.57,-84.57,-84.57,0.9898191666666667,4826.0
robinhood,TENDIES,39859.09,243202.59,157.0,2099.0,2099.0,1.0828747222222221,164486.0
solana,sanic,10911.5,27622.78,-27.93,-27.93,-27.93,0.8509302777777777,22469.0
robinhood,OILINU,27023.88,262693.33,-6.25,120.0,120.0,1.6673191666666667,92547.0
robinhood,Wolf,4145.82,55551.64,-68.82,19.77,19.77,1.2195413888888889,4187.0
solana,DP,0.0,13525.41,-54.66,-13.94,-13.94,1.1178747222222223,2107.64
robinhood,HOODCOIN,3274.13,27731.15,-72.83,-34.98,-34.98,1.2009302777777777,3315.0
base,$COBIE,130400.69,555265.72,223.0,1526.0,1526.0,1.4900969444444445,299987.0
solana,Datacenter,9342.33,389945.16,-76.56,-49.7,-49.7,1.0178747222222222,15298.0
