pair,tradeable_folds,total_return_pct,sharpe_annualized,max_drawdown_pct,win_rate_pct,n_periods,trade_count,turnover_eur,net_profit_eur_on_1000,final_equity_eur
ADAUSDT/TRXUSDT,1,9.33,0.98,-2.64,0.9,750,1,0.0,93.3,1093.3
ADAUSDT/AVAXUSDT,4,11.52,0.87,-6.29,3.7,750,4,0.0,115.16,1115.16
ETHUSDT/SOLUSDT,1,4.81,0.84,-1.53,1.5,750,3,0.0,48.13,1048.13
ADAUSDT/TONUSDT,1,7.26,0.7,-3.17,1.3,750,3,0.0,72.57,1072.57
SOLUSDT/TRXUSDT,1,6.5,0.47,-8.09,2.4,750,2,0.0,64.96,1064.96
NEARUSDT/DOTUSDT,2,0.13,0.04,-5.98,5.2,750,2,0.0,1.32,1001.32
AVAXUSDT/SUIUSDT,1,0.0,0.0,0.0,0.0,750,0,0.0,0.0,1000.0
ADAUSDT/NEARUSDT,3,-2.44,-0.14,-15.21,4.7,750,8,0.0,-24.41,975.59
ETHUSDT/TRXUSDT,1,-7.01,-0.35,-10.94,3.6,750,11,0.0,-70.11,929.89
SOLUSDT/TONUSDT,1,-18.35,-0.5,-21.34,1.6,750,46,0.0,-183.52,816.48
ADAUSDT/DOTUSDT,2,-9.68,-0.81,-11.26,3.2,750,11,0.0,-96.8,903.2
