label,n_events,mean_gross_bps,mean_net_bps,median_net_bps,win_rate_net_pct,mean_cost_bps,t_stat_gross,p_gross_two_sided,t_stat_net,p_net_two_sided,sharpe_per_event,k,z,v,hold_bars
k1_z2.5_v2.0_w336_both|hold4,14535,-5.04,-42.82,-21.31,45.0,37.78,-1.893,0.05842,-16.127,0.0,-0.1338,1,2.5,2.0,4
k1_z2.5_v2.0_w336_both|hold12,14534,-12.27,-50.06,-23.84,46.76,37.78,-2.804,0.00505,-11.448,0.0,-0.095,1,2.5,2.0,12
k1_z2.5_v2.0_w336_both|hold24,14533,1.87,-35.91,-13.72,48.59,37.78,0.322,0.74723,-6.192,0.0,-0.0514,1,2.5,2.0,24
k1_z3.0_v2.0_w336_both|hold4,9041,-6.84,-44.19,-19.52,45.38,37.35,-1.94,0.0524,-12.57,0.0,-0.1322,1,3.0,2.0,4
k1_z3.0_v2.0_w336_both|hold12,9040,-15.94,-53.3,-20.01,47.41,37.35,-2.8,0.00512,-9.366,0.0,-0.0985,1,3.0,2.0,12
k1_z3.0_v2.0_w336_both|hold24,9040,-1.47,-38.82,-11.75,48.82,37.35,-0.191,0.84841,-5.06,0.0,-0.0532,1,3.0,2.0,24
k1_z4.0_v2.0_w336_both|hold4,3862,-16.4,-52.99,-18.98,45.83,36.59,-2.824,0.00477,-9.142,0.0,-0.1471,1,4.0,2.0,4
k1_z4.0_v2.0_w336_both|hold12,3862,-32.52,-69.11,-25.25,47.1,36.59,-3.509,0.00045,-7.459,0.0,-0.12,1,4.0,2.0,12
k1_z4.0_v2.0_w336_both|hold24,3862,-20.98,-57.57,-12.97,48.81,36.59,-1.614,0.10661,-4.43,1e-05,-0.0713,1,4.0,2.0,24
k3_z2.5_v2.0_w336_both|hold4,14931,-7.48,-45.93,-25.5,44.0,38.45,-2.82,0.00481,-17.362,0.0,-0.1421,3,2.5,2.0,4
k3_z2.5_v2.0_w336_both|hold12,14930,-6.08,-44.53,-19.37,47.37,38.46,-1.426,0.15401,-10.463,0.0,-0.0856,3,2.5,2.0,12
k3_z2.5_v2.0_w336_both|hold24,14929,5.94,-32.52,-3.98,49.58,38.46,1.009,0.31282,-5.532,0.0,-0.0453,3,2.5,2.0,24
k3_z3.0_v2.0_w336_both|hold4,9306,-11.42,-49.76,-26.2,44.25,38.34,-3.167,0.00154,-13.837,0.0,-0.1434,3,3.0,2.0,4
k3_z3.0_v2.0_w336_both|hold12,9305,-9.36,-47.7,-14.83,48.03,38.34,-1.641,0.1009,-8.377,0.0,-0.0868,3,3.0,2.0,12
k3_z3.0_v2.0_w336_both|hold24,9305,6.53,-31.81,4.54,50.42,38.34,0.829,0.40715,-4.044,5e-05,-0.0419,3,3.0,2.0,24
k3_z4.0_v2.0_w336_both|hold4,3803,-0.32,-39.11,-15.15,46.99,38.79,-0.053,0.95794,-6.494,0.0,-0.1053,3,4.0,2.0,4
k3_z4.0_v2.0_w336_both|hold12,3803,9.07,-29.72,2.8,50.51,38.79,0.922,0.35644,-3.029,0.00247,-0.0491,3,4.0,2.0,12
k3_z4.0_v2.0_w336_both|hold24,3803,23.93,-14.87,35.28,53.04,38.79,1.721,0.08539,-1.071,0.28435,-0.0174,3,4.0,2.0,24
k6_z2.5_v2.0_w336_both|hold4,13540,-7.95,-47.94,-25.87,44.45,40.0,-2.679,0.00739,-16.21,0.0,-0.1393,6,2.5,2.0,4
k6_z2.5_v2.0_w336_both|hold12,13540,-4.38,-44.37,-12.11,48.25,40.0,-0.926,0.35452,-9.403,0.0,-0.0808,6,2.5,2.0,12
k6_z2.5_v2.0_w336_both|hold24,13540,3.24,-36.75,2.05,50.21,40.0,0.49,0.62407,-5.562,0.0,-0.0478,6,2.5,2.0,24
k6_z3.0_v2.0_w336_both|hold4,8427,-2.33,-42.54,-22.14,45.57,40.21,-0.58,0.5618,-10.609,0.0,-0.1156,6,3.0,2.0,4
k6_z3.0_v2.0_w336_both|hold12,8427,11.85,-28.36,-0.32,49.95,40.21,1.865,0.0622,-4.474,1e-05,-0.0487,6,3.0,2.0,12
k6_z3.0_v2.0_w336_both|hold24,8427,19.49,-20.72,22.83,52.12,40.21,2.134,0.03284,-2.273,0.02308,-0.0248,6,3.0,2.0,24
k6_z4.0_v2.0_w336_both|hold4,3463,10.0,-30.87,-9.15,48.37,40.86,1.382,0.16704,-4.287,2e-05,-0.0729,6,4.0,2.0,4
k6_z4.0_v2.0_w336_both|hold12,3463,46.41,5.55,24.11,52.99,40.86,4.12,4e-05,0.494,0.62101,0.0084,6,4.0,2.0,12
k6_z4.0_v2.0_w336_both|hold24,3463,38.78,-2.08,74.02,55.93,40.86,2.288,0.02222,-0.123,0.90232,-0.0021,6,4.0,2.0,24
