k,z,v,both_dir,cost_level,n_trades,sharpe,net_pnl,cost_pct_of_gross,win_rate_pct
1,2.5,1.5,True,optimistic,228,-0.7351,-18603.34,455.3,41.23
1,2.5,1.5,True,base,164,-1.2192,-20081.19,412.5,37.8
1,2.5,1.5,True,pessimistic,116,-1.1219,-19941.75,1877.3,37.93
1,2.5,1.5,False,optimistic,174,-1.2898,-18792.54,189.3,39.66
1,2.5,1.5,False,base,143,-1.444,-19387.86,276.9,39.16
1,2.5,1.5,False,pessimistic,73,-1.4771,-18727.54,183.7,32.88
1,2.5,2.0,True,optimistic,225,-0.7436,-18458.23,426.6,41.33
1,2.5,2.0,True,base,152,-0.9678,-17795.05,482.9,38.82
1,2.5,2.0,True,pessimistic,114,-1.0647,-18991.09,3742.7,38.6
1,2.5,2.0,False,optimistic,172,-1.255,-18178.03,190.4,40.12
1,2.5,2.0,False,base,141,-1.4005,-18647.15,300.1,39.72
1,2.5,2.0,False,pessimistic,73,-1.4087,-17773.27,199.1,34.25
1,2.5,3.0,True,optimistic,245,-0.7006,-18993.43,535.4,42.45
1,2.5,3.0,True,base,146,-0.9387,-17753.01,376.6,38.36
1,2.5,3.0,True,pessimistic,110,-1.1546,-19658.05,920.1,37.27
1,2.5,3.0,False,optimistic,169,-1.2621,-18391.08,170.7,39.64
1,2.5,3.0,False,base,137,-1.3876,-18567.56,272.1,39.42
1,2.5,3.0,False,pessimistic,70,-1.5226,-18274.29,167.1,32.86
1,3.0,1.5,True,optimistic,242,-0.102,-17589.37,1001.0,41.74
1,3.0,1.5,True,base,113,-0.5171,-18738.31,131.2,36.28
1,3.0,1.5,True,pessimistic,128,-0.5996,-19896.09,3673.9,39.84
1,3.0,1.5,False,optimistic,501,0.2943,-1036.18,103.9,48.7
1,3.0,1.5,False,base,499,-0.0587,-12537.75,149.9,48.5
1,3.0,1.5,False,pessimistic,119,-1.2739,-19161.9,4831.6,36.97
1,3.0,2.0,True,optimistic,238,-0.2183,-18843.37,513.1,41.18
1,3.0,2.0,True,base,112,-0.5049,-18624.88,130.3,36.61
1,3.0,2.0,True,pessimistic,127,-0.5818,-19721.49,3749.8,40.16
1,3.0,2.0,False,optimistic,498,0.2875,-1740.49,106.8,48.8
1,3.0,2.0,False,base,496,-0.0627,-13093.96,154.0,48.59
1,3.0,2.0,False,pessimistic,118,-1.2532,-18989.82,4434.8,37.29
1,3.0,3.0,True,optimistic,233,-0.2993,-19608.66,350.4,40.34
1,3.0,3.0,True,base,213,-0.3599,-19814.42,11133.5,41.78
1,3.0,3.0,True,pessimistic,108,-0.7324,-19693.24,506.7,37.04
1,3.0,3.0,False,optimistic,482,0.0056,-8812.85,154.9,47.51
1,3.0,3.0,False,base,130,-1.0518,-17552.08,355.8,38.46
1,3.0,3.0,False,pessimistic,69,-1.3728,-17335.58,198.7,31.88
1,4.0,1.5,True,optimistic,365,0.1012,-20865.62,461.4,44.93
1,4.0,1.5,True,base,158,-0.7723,-18644.32,367.6,41.77
1,4.0,1.5,True,pessimistic,131,-1.0764,-20343.81,2459.9,38.93
1,4.0,1.5,False,optimistic,213,-0.5199,-20496.71,99.2,43.66
1,4.0,1.5,False,base,164,-0.8532,-19834.97,183.8,40.85
1,4.0,1.5,False,pessimistic,75,-2.1085,-19668.25,162.2,26.67
1,4.0,2.0,True,optimistic,365,0.1012,-20865.62,461.4,44.93
1,4.0,2.0,True,base,158,-0.7723,-18644.32,367.6,41.77
1,4.0,2.0,True,pessimistic,131,-1.0764,-20343.81,2459.9,38.93
1,4.0,2.0,False,optimistic,213,-0.5199,-20496.71,99.2,43.66
1,4.0,2.0,False,base,164,-0.8532,-19834.97,183.8,40.85
1,4.0,2.0,False,pessimistic,75,-2.1085,-19668.25,162.2,26.67
1,4.0,3.0,True,optimistic,360,0.1339,-19791.19,642.0,45.28
1,4.0,3.0,True,base,164,-0.8862,-20415.9,279.2,40.85
1,4.0,3.0,True,pessimistic,130,-1.0243,-19852.68,5711.4,39.23
1,4.0,3.0,False,optimistic,209,-0.5382,-20299.66,99.4,43.54
1,4.0,3.0,False,base,160,-0.8833,-19578.22,185.2,40.62
1,4.0,3.0,False,pessimistic,144,-1.2249,-23646.89,345.5,37.5
3,2.5,1.5,True,optimistic,114,-0.6933,-18214.1,79.7,34.21
3,2.5,1.5,True,base,94,-0.9736,-19464.11,110.3,31.91
3,2.5,1.5,True,pessimistic,81,-1.0347,-19226.52,354.5,33.33
3,2.5,1.5,False,optimistic,74,-1.5086,-18060.45,41.3,27.03
3,2.5,1.5,False,base,67,-1.7033,-18543.43,63.6,26.87
3,2.5,1.5,False,pessimistic,61,-1.8526,-19353.11,127.1,26.23
3,2.5,2.0,True,optimistic,113,-0.8001,-18782.4,71.4,33.63
3,2.5,2.0,True,base,106,-0.842,-18765.25,141.9,35.85
3,2.5,2.0,True,pessimistic,77,-1.162,-18970.54,283.9,32.47
3,2.5,2.0,False,optimistic,73,-1.4318,-17612.26,42.5,27.4
3,2.5,2.0,False,base,68,-1.5576,-18030.56,68.3,27.94
3,2.5,2.0,False,pessimistic,64,-2.0134,-21124.82,116.2,25.0
3,2.5,3.0,True,optimistic,105,-0.7825,-18341.61,59.1,32.38
3,2.5,3.0,True,base,96,-0.8325,-18410.23,99.6,33.33
3,2.5,3.0,True,pessimistic,78,-1.0802,-18711.91,212.6,34.62
3,2.5,3.0,False,optimistic,118,-1.3234,-18112.02,86.4,34.75
3,2.5,3.0,False,base,102,-1.5022,-18835.71,135.9,33.33
3,2.5,3.0,False,pessimistic,56,-1.6923,-18506.42,106.1,28.57
3,3.0,1.5,True,optimistic,133,-1.2973,-17662.36,98.4,38.35
3,3.0,1.5,True,base,104,-1.4952,-18537.81,122.6,35.58
3,3.0,1.5,True,pessimistic,82,-1.5287,-20313.91,215.4,30.49
3,3.0,1.5,False,optimistic,388,0.1057,-13855.97,282.3,46.91
3,3.0,1.5,False,base,102,-1.3412,-18174.28,183.8,32.35
3,3.0,1.5,False,pessimistic,88,-1.6386,-19759.33,420.6,31.82
3,3.0,2.0,True,optimistic,190,-0.9363,-16413.9,328.9,42.11
3,3.0,2.0,True,base,104,-1.1268,-16786.0,156.2,37.5
3,3.0,2.0,True,pessimistic,85,-1.4559,-19465.32,285.6,32.94
3,3.0,2.0,False,optimistic,383,0.1602,-13251.97,265.2,47.0
3,3.0,2.0,False,base,101,-1.3228,-17788.84,192.9,32.67
3,3.0,2.0,False,pessimistic,77,-1.8603,-20310.97,209.6,27.27
3,3.0,3.0,True,optimistic,195,-0.8573,-17507.26,272.9,41.03
3,3.0,3.0,True,base,126,-1.3223,-18345.21,174.8,36.51
3,3.0,3.0,True,pessimistic,78,-1.4035,-18911.33,206.5,33.33
3,3.0,3.0,False,optimistic,352,0.1205,-14650.98,437.8,46.02
3,3.0,3.0,False,base,314,-0.1491,-20573.58,576.8,43.95
3,3.0,3.0,False,pessimistic,71,-1.7365,-19430.45,183.8,28.17
3,4.0,1.5,True,optimistic,133,-1.1858,-19041.66,71.9,36.09
3,4.0,1.5,True,base,116,-1.3775,-19022.96,132.6,36.21
3,4.0,1.5,True,pessimistic,94,-1.3621,-19606.51,346.2,37.23
3,4.0,1.5,False,optimistic,137,-0.3166,-20481.67,51.1,40.15
3,4.0,1.5,False,base,125,-0.3825,-18932.26,95.9,39.2
3,4.0,1.5,False,pessimistic,119,-0.6268,-22726.66,169.3,36.97
3,4.0,2.0,True,optimistic,133,-1.1858,-19041.66,71.9,36.09
3,4.0,2.0,True,base,116,-1.3775,-19022.96,132.6,36.21
3,4.0,2.0,True,pessimistic,94,-1.3621,-19606.51,346.2,37.23
3,4.0,2.0,False,optimistic,137,-0.2846,-20163.92,52.8,40.15
3,4.0,2.0,False,base,126,-0.3591,-18708.92,100.1,38.89
3,4.0,2.0,False,pessimistic,119,-0.594,-22459.89,177.6,36.97
3,4.0,3.0,True,optimistic,131,-1.169,-18402.13,74.1,36.64
3,4.0,3.0,True,base,118,-1.5297,-20233.52,117.6,35.59
3,4.0,3.0,True,pessimistic,95,-1.3019,-19506.31,380.6,37.89
3,4.0,3.0,False,optimistic,132,-0.2897,-20510.51,50.2,39.39
3,4.0,3.0,False,base,120,-0.3521,-18930.79,94.0,38.33
3,4.0,3.0,False,pessimistic,114,-0.5901,-22665.77,165.6,36.84
6,2.5,1.5,True,optimistic,90,-1.6073,-18608.41,42.6,26.67
6,2.5,1.5,True,base,82,-1.7455,-19754.2,60.8,25.61
6,2.5,1.5,True,pessimistic,78,-1.9766,-21995.22,113.7,26.92
6,2.5,1.5,False,optimistic,101,-1.7641,-19556.36,56.3,28.71
6,2.5,1.5,False,base,93,-1.907,-20244.64,94.8,30.11
