asset,direction,entry_time,exit_time,entry_price,exit_price,qty,notional,bars_held,exit_reason,gross_pnl,entry_cost,exit_cost,funding,net_pnl,ret_on_notional,equity_after
BTC,1,2024-08-20 15:00:00+00:00,2024-08-20 16:00:00+00:00,59462.6,58637.9,0.6062810719049357,36051.04886625443,1,stop,-499.99999999999875,40.557429974536234,40.557429974536234,0.0,-581.1148599490713,-0.016119221998365314,99174.74217699439
UNI,1,2024-08-20 15:00:00+00:00,2024-08-21 02:00:00+00:00,6.205,6.418,3518.6472617191207,21833.206258967144,11,target,749.471866746173,71.66999836496723,82.2976877600006,0.0,595.5041806212051,0.02727515938602123,99777.93588355482
LINK,1,2024-08-20 15:00:00+00:00,2024-08-21 06:00:00+00:00,10.169,10.4405,2756.660283998867,28032.47842798448,15,target,748.4332671056914,75.80267378987975,105.49038520514222,0.0,567.1402081106694,0.020231539982012447,100420.87876545537
LTC,1,2024-08-20 16:00:00+00:00,2024-08-21 10:00:00+00:00,63.63,62.55571428571428,461.5845713024981,29370.626271977955,18,stop,-495.87371088497287,63.98047242573382,65.90326741873228,0.0,-625.757450729439,-0.021305553546417368,99859.10178715167
NEAR,1,2024-08-20 15:00:00+00:00,2024-08-21 14:00:00+00:00,4.007,4.1357857142857135,5815.352625966791,23302.11797224893,23,target,748.9343417584348,66.80995369921818,62.36846608380191,0.0,619.7559219754147,0.026596548979517545,100545.6676628263
DOGE,1,2024-08-20 15:00:00+00:00,2024-08-21 15:00:00+00:00,0.10219,0.10375,182980.15114805943,18698.741645820195,24,time_stop,285.44903579097127,29.860337202462134,30.73917752757668,0.0,224.84952106093246,0.012024847731461865,100800.37752108969
DOGE,1,2024-08-24 22:00:00+00:00,2024-08-25 07:00:00+00:00,0.11105,0.10819999999999999,176690.6895580132,19621.501075417364,9,stop,-503.5684652403385,34.66699208529985,29.22439021781432,0.0,-567.4598475434527,-0.028920307644270404,100097.98409488588
WLD,1,2024-08-24 22:00:00+00:00,2024-08-25 07:00:00+00:00,1.881,1.796,5922.2956503519,11139.838118311924,9,stop,-503.39513027991126,30.656134984952327,25.633199836158514,0.0,-559.684465101022,-0.0502417054141029,99568.95576476981
PEPE,1,2024-08-24 22:00:00+00:00,2024-08-25 07:00:00+00:00,9.232e-06,8.802142857142858e-06,1170718825.9338362,10808.076201021177,9,stop,-503.2418496049875,17.59297065334489,15.372177748599922,0.0,-536.2069980069324,-0.0496116966640437,99050.34173741622
ETH,1,2024-08-24 22:00:00+00:00,2024-08-25 22:00:00+00:00,2738.99,2770.78,10.104288043413177,27675.543908028256,24,time_stop,321.21531690010914,31.13498689653179,31.13498689653179,0.0,258.9453431070455,0.009356468077649213,99340.4220674198
XRP,1,2024-08-24 22:00:00+00:00,2024-08-25 22:00:00+00:00,0.6079,0.603,39014.64036168981,23716.999875871235,24,time_stop,-191.17173777228066,55.54948612551215,48.338781219494365,0.0,-295.0600051172872,-0.012440865483052512,99100.91154842802
LINK,1,2024-08-26 11:00:00+00:00,2024-08-26 19:00:00+00:00,12.323,11.95857142857143,1359.675383847504,16755.27975515279,8,stop,-495.504557742139,49.103062258151446,52.95458996446587,0.0,-597.5622099647563,-0.03566411415965685,98387.76184680733
XRP,1,2024-08-26 18:00:00+00:00,2024-08-27 15:00:00+00:00,0.5806,0.5969285714285715,45496.23749364749,26415.11548881173,21,target,742.8885636462744,54.48055452130982,51.447937441726495,0.0,636.9600716832381,0.024113469121610543,99079.20247301189
BCH,1,2024-08-26 18:00:00+00:00,2024-08-27 18:00:00+00:00,342.0,338.3,69.57643529332721,23795.140870317904,24,time_stop,-257.4328105853099,61.106937134624864,72.78449995832008,0.0,-391.3242476782548,-0.016445552888757774,98748.98516246826
BTC,1,2024-08-27 22:00:00+00:00,2024-08-27 23:00:00+00:00,60426.6,59374.271428571425,0.4691927400033103,28351.72202308403,1,stop,-493.7449258123418,31.895687275969532,31.895687275969532,0.0,-557.5363003642809,-0.0196649889523583,98093.39379738546
ETH,1,2024-08-27 22:00:00+00:00,2024-08-28 01:00:00+00:00,2489.99,2417.0857142857144,6.7703214226710955,16858.0326392368,3,stop,-493.5854473759606,18.9652867191414,18.9652867191414,0.0,-531.5160208142435,-0.03152894719026397,97556.82975159632
SOL,1,2024-08-27 22:00:00+00:00,2024-08-28 07:00:00+00:00,149.22,145.05714285714288,118.5461340630257,17689.454124884694,9,stop,-493.4906209423644,19.900635890495284,20.180618496129853,0.0,-533.5718753289896,-0.030163275336935677,97043.15851215782
DOGE,1,2024-08-27 22:00:00+00:00,2024-08-28 08:00:00+00:00,0.10014,0.09751714285714287,188050.01301991302,18831.32830381409,10,stop,-493.2283198636561,26.62956225767749,38.65937542294198,0.0,-558.5172575442756,-0.02965894112903091,96511.27081687123
XRP,1,2024-08-27 22:00:00+00:00,2024-08-28 16:00:00+00:00,0.573,0.558242857142857,33434.054446664,19157.71319793847,18,stop,-493.39111776291486,32.559579851208674,36.13985215371424,0.0,-562.0905497678378,-0.029340169359478852,95792.97923078855
BTC,1,2024-08-27 23:00:00+00:00,2024-08-28 16:00:00+00:00,59498.8,58131.64285714286,0.35874952016264083,21345.165950252936,17,stop,-490.4669689869262,24.013311694034552,24.013311694034552,0.0,-538.4935923749953,-0.025227894392107746,95278.49895010759
XLM,1,2024-08-28 08:00:00+00:00,2024-08-28 16:00:00+00:00,0.09294,0.09109714285714285,261801.44347052948,24331.826156151008,8,stop,-482.4626601099766,116.69218785505204,102.51214947284011,0.0,-701.6669974378686,-0.02883741618630994,94693.52414052478
SOL,1,2024-08-28 08:00:00+00:00,2024-08-29 08:00:00+00:00,143.97,145.06,111.37139724993366,16034.14006207295,24,time_stop,121.39482300242807,18.738794876013486,19.657313500243532,0.0,82.99871462617105,0.005176374554847233,94795.26165002697
LINK,1,2024-08-28 14:00:00+00:00,2024-08-29 14:00:00+00:00,11.36,11.361,1404.8956244043757,15959.614293233706,24,time_stop,1.4048956244060926,53.32963343497979,41.30428265127949,0.0,-93.2290204618532,-0.005841558495644779,94755.36226300009
DOGE,1,2024-08-29 19:00:00+00:00,2024-08-30 09:00:00+00:00,0.09878,0.10164285714285715,247839.44810967147,24481.58068427335,14,target,709.5289343025443,43.08547139615436,39.30544027253002,0.0,627.1380226338598,0.025616729194153916,95230.99592963996
ETH,1,2024-08-29 19:00:00+00:00,2024-08-30 14:00:00+00:00,2521.02,2472.752857142857,9.812607527847861,24737.779829855015,19,stop,-473.62652934770927,27.83000230858689,27.83000230858689,0.0,-529.286533964883,-0.02139587859562517,94729.53939798367
SOL,1,2024-08-29 19:00:00+00:00,2024-08-30 14:00:00+00:00,139.73,136.53,147.9648060425519,20675.122348325778,19,stop,-473.48737933616445,23.2595126418665,23.2595126418665,0.0,-520.0064046198975,-0.025151309668646597,94232.79250600563
BTC,1,2024-08-29 19:00:00+00:00,2024-08-30 15:00:00+00:00,59159.9,58110.8,0.451603099146888,26716.79418521998,20,stop,-473.7768113149996,30.056393458372476,30.056393458372476,0.0,-533.8895982317446,-0.019983295695225965,93728.95930123226
XRP,1,2024-08-29 19:00:00+00:00,2024-08-30 15:00:00+00:00,0.5619,0.5540571428571428,60356.968532070976,33914.58061817068,20,stop,-473.37108177295715,70.35844758515478,61.378208939159315,0.0,-605.1077382972712,-0.017842111778114334,93194.21001052014
SOL,1,2024-08-30 15:00:00+00:00,2024-08-30 16:00:00+00:00,135.66,132.19714285714284,134.4751502710596,18242.898885771945,1,stop,-465.66823465292873,20.523261246493437,20.523261246493437,0.0,-506.71475714591566,-0.027775999873633796,92550.63991595335
ETH,1,2024-08-30 15:00:00+00:00,2024-08-30 18:00:00+00:00,2462.9,2533.2457142857143,9.932499279423668,24462.752475292553,3,target,698.7087564533992,27.52059653470412,27.52059653470412,0.0,643.6675633839909,0.026312147990464153,93086.46586085501
WLD,1,2024-08-30 15:00:00+00:00,2024-08-30 18:00:00+00:00,1.451,1.5189285714285714,10275.69572477225,14910.034496644534,3,target,698.0133310184568,31.61272394140677,38.5129512228517,0.0,627.8876558541983,0.04211175071362195,93745.96624065061
XLM,1,2024-08-30 16:00:00+00:00,2024-08-31 00:00:00+00:00,0.09142,0.0934342857142857,344603.44649557176,31503.64707862517,8,target,694.1297993696484,135.36221501702101,246.59435395793346,0.0,312.173230394694,0.009909114002438772,94193.50168606233
BTC,1,2024-08-30 15:00:00+00:00,2024-08-31 15:00:00+00:00,58465.8,59017.9,0.5023637127274734,29371.096355581914,24,time_stop,277.3550057968373,33.04248340002965,33.04248340002965,0.0,211.270038996778,0.007193127435184304,94437.81420845914
ADA,1,2024-08-30 15:00:00+00:00,2024-08-31 15:00:00+00:00,0.3445,0.3491,54957.15562271277,18932.74011202455,24,time_stop,252.80291586448143,44.679533544759096,53.54015551361991,0.0,154.58322680610243,0.00816486287201099,94637.07696881
ETH,1,2024-09-01 23:00:00+00:00,2024-09-02 09:00:00+00:00,2406.08,2493.6371428571424,8.103921198759716,19498.682717911775,10,target,709.5561861028298,21.936018057650745,21.936018057650745,0.0,665.6841499875284,0.03413995497121563,95166.34373229837
XRP,1,2024-09-01 23:00:00+00:00,2024-09-02 15:00:00+00:00,0.5452,0.559,51397.09373000869,28021.695501600738,16,target,709.2798934741216,61.55631830634295,64.35678891411435,0.0,583.3667862536644,0.02081839716730701,95811.26683685837
BTC,1,2024-09-01 23:00:00+00:00,2024-09-02 20:00:00+00:00,57307.8,58854.514285714286,0.4588941110984137,26298.211940005676,21,target,709.7780772660736,29.585488432506384,29.585488432506384,0.0,650.6071004010608,0.024739594535373586,96491.45942569194
DOGE,1,2024-09-01 23:00:00+00:00,2024-09-02 20:00:00+00:00,0.09439,0.098365,178319.04933001907,16831.5350662605,21,target,708.8182210868245,30.372580656775046,27.367569645544165,0.0,651.0780707845051,0.03868203751003185,97172.91007713322
SOL,1,2024-09-01 23:00:00+00:00,2024-09-02 23:00:00+00:00,129.05,134.89,102.65099042422317,13247.110314246002,24,time_stop,599.4817840774607,14.902999103526751,15.916854173705739,0.0,568.6619308002282,0.042927243550518836,97756.47500703698
ADA,1,2024-09-05 15:00:00+00:00,2024-09-05 19:00:00+00:00,0.3301,0.32221428571428573,61983.27219649093,20460.678152061657,4,stop,-488.7823750351849,50.4225393633279,65.06107959070675,0.0,-604.2659939892195,-0.029533038421228112,97152.20901304776
XRP,1,2024-09-06 08:00:00+00:00,2024-09-06 14:00:00+00:00,0.5351,0.5276,64768.13934203172,34657.431361921175,6,stop,-485.7610450652419,75.48639039650986,65.5287388445951,0.0,-626.7761743063468,-0.0180848998231011,96525.4328387414
BTC,1,2024-09-06 14:00:00+00:00,2024-09-06 15:00:00+00:00,55895.7,54727.9,0.4463279496592747,24947.81317576992,1,stop_gap,-521.221779612099,28.06628982274116,28.06628982274116,0.0,-577.3543592575813,-0.02314248367942428,95869.08687374688
DOGE,1,2024-09-06 14:00:00+00:00,2024-09-06 15:00:00+00:00,0.09539,0.09326285714285715,226823.89719356367,21636.731553294037,1,stop,-482.48683274459427,30.346910392773697,32.89521097295409,0.0,-545.7289541103221,-0.02522233789175236,95353.70483002934
SHIB,1,2024-09-06 14:00:00+00:00,2024-09-06 17:00:00+00:00,1.3021e-05,1.2716e-05,1581426551.4512472,20591.75512644669,3,stop,-482.3350981926298,48.64469534415418,77.03563542420162,0.0,-608.0154289609856,-0.02952712992298994,94770.9225166353
BTC,1,2024-09-06 15:00:00+00:00,2024-09-06 18:00:00+00:00,54727.9,53474.07142857143,0.38025016737888856,20810.293135295076,3,stop,-476.768524150148,23.41157977720696,23.41157977720696,0.0,-523.5916837045619,-0.02516022625440724,94270.74241270794
ADA,1,2024-09-06 21:00:00+00:00,2024-09-07 04:00:00+00:00,0.3054,0.3207642857142857,45988.38680556468,14044.853330419453,7,target,706.5787144197833,39.55949612312795,41.15609711260817,0.0,625.8631211840471,0.044561741333994806,94811.80516642836
XRP,1,2024-09-06 21:00:00+00:00,2024-09-07 07:00:00+00:00,0.5068,0.5295357142857143,31089.2995073208,15756.056990310182,10,target,706.8374309414442,34.49553622132405,40.98943268939863,0.0,631.3524620307214,0.0400704606754721,95477.6531646804
ETH,1,2024-09-06 21:00:00+00:00,2024-09-07 08:00:00+00:00,2169.7,2300.6971428571424,5.397297625539459,11710.516658132963,11,target,707.0305680953088,13.174331240399583,13.174331240399583,0.0,680.6819056145096,0.0581256938088872,96171.50940153531
SOL,1,2024-09-06 21:00:00+00:00,2024-09-07 15:00:00+00:00,121.27,129.2692857142857,88.37436064429046,10717.158715333104,18,target,706.9317606110055,12.577289275086562,12.056803554749742,0.0,682.2976677811693,0.06366404435207271,96866.38435859156
WLD,1,2024-09-06 21:00:00+00:00,2024-09-07 21:00:00+00:00,1.3,1.34,7490.869889987911,9738.130856984284,24,time_stop,299.6347955995167,24.55321072683275,25.94729615039908,0.0,249.13428872228488,0.025583378615579324,97061.65042075486
BCH,1,2024-09-07 17:00:00+00:00,2024-09-08 17:00:00+00:00,301.5,303.2,89.21903822501868,26899.540024843132,24,time_stop,151.67236498253075,78.42143728582816,67.35033282268401,0.0,5.90059487401858,0.00021935672017324727,97145.9724529147
BTC,1,2024-09-11 14:00:00+00:00,2024-09-11 16:00:00+00:00,55740.2,57322.44285714285,0.4604822768563635,25667.37420842907,2,target,728.5947933968591,28.875795984482707,28.875795984482707,0.0,670.8432014278937,0.026136027627149772,97509.82985103874
UNI,1,2024-09-11 14:00:00+00:00,2024-09-11 16:00:00+00:00,6.608,6.896428571428571,2524.663570029764,16682.97687075668,2,target,728.1851068414426,49.03544818128708,47.44821914065914,0.0,631.7014395194964,0.037865031187976746,98190.56673873952
ETH,1,2024-09-11 14:00:00+00:00,2024-09-11 17:00:00+00:00,2288.0,2360.8121428571426,10.003526834199263,22888.069396647916,3,target,728.3782249269761,25.749078071228904,25.749078071228904,0.0,676.8800687845182,0.02957348901098889,98893.19588559527
XLM,1,2024-09-11 14:00:00+00:00,2024-09-12 02:00:00+00:00,0.09147,0.09365357142857142,333315.1054537515,30488.33269585465,12,target,727.8173409800829,232.2012770513522,275.47453739668407,0.0,220.1415265320466,0.007220517065597955,99345.53868917866
BCH,1,2024-09-19 13:00:00+00:00,2024-09-20 13:00:00+00:00,340.5,334.1,41.149039693742644,14011.24801571937,24,time_stop,-263.353854039952,42.996099936678135,27.81507561114209,0.0,-334.16502958777227,-0.023849769072167515,99011.3736595909
SOL,1,2024-09-20 14:00:00+00:00,2024-09-21 14:00:00+00:00,147.24,149.01,111.177352521196,16369.7533852209,24,time_stop,196.7839139625149,18.41597255837351,18.41597255837351,0.0,159.95196884576788,0.009771189894050406,99119.01889094576
BCH,1,2024-09-20 14:00:00+00:00,2024-09-21 14:00:00+00:00,334.0,340.7,65.49628580427478,21875.759458627774,24,time_stop,438.82511488864026,52.3067374909074,48.480413138288334,0.0,338.03796425944455,0.015452627594427254,99509.36359269611
SUI,1,2024-09-22 14:00:00+00:00,2024-09-22 17:00:00+00:00,1.4935,1.5934000000000001,7470.672942394596,11157.45003946633,3,target,746.320226945221,16.674513454210054,16.897515437891617,0.0,712.7481980531194,0.06388092221179335,100222.11179074923
AVAX,1,2024-09-25 01:00:00+00:00,2024-09-26 00:00:00+00:00,27.776,27.00857142857143,652.9735503864894,18136.993335535128,23,stop,-501.1105589537455,49.58712520398344,45.45484134629023,0.0,-596.1525255040192,-0.03286942408122299,99625.95926524521
SHIB,1,2024-09-27 18:00:00+00:00,2024-09-28 18:00:00+00:00,2.0099e-05,1.9812e-05,376149792.2636008,7560.234674706113,24,time_stop,-107.95499037965311,16.908735946549992,18.488096800536006,0.0,-143.3518231267391,-0.018961292776577942,99482.60744211847
PEPE,1,2024-09-29 05:00:00+00:00,2024-09-30 05:00:00+00:00,1.1313e-05,1.1396e-05,903448692.3908019,10220.715057017142,24,time_stop,74.98624146843721,16.133884744043115,16.3584439968672,0.0,42.4939127275269,0.004157626202322532,99356.82412761018
XLM,1,2024-09-29 17:00:00+00:00,2024-09-30 17:00:00+00:00,0.10162,0.10047,232553.54539132302,23632.091282666246,24,time_stop,-267.4365772000211,168.2772272358094,241.72795854088935,0.0,-677.4417629767198,-0.028666179174486023,98666.63057078721
XRP,1,2024-09-30 10:00:00+00:00,2024-09-30 23:00:00+00:00,0.6338,0.6137571428571429,24786.09297552642,15709.425727888645,13,stop,-496.78412063805087,28.85439545436076,27.266129664737754,0.0,-552.9046457571493,-0.035195726141382,98142.58032048443
FIL,1,2024-09-30 10:00:00+00:00,2024-09-30 23:00:00+00:00,3.933,3.8204285714285713,4409.658946889834,17343.188638117714,13,stop,-496.4016071641697,42.799459652365776,38.095448724880015,0.0,-577.2965155414155,-0.03328664224251155,97608.08326459538
AAVE,1,2024-09-30 10:00:00+00:00,2024-10-01 05:00:00+00:00,155.14,161.48071428571427,117.48830485385086,18227.135615026422,19,target,744.959772991167,47.64829932204425,45.05108679963002,0.0,652.2603868694927,0.03578512831888792,98307.99195078692
LTC,1,2024-09-30 10:00:00+00:00,2024-10-01 10:00:00+00:00,66.83,68.43,410.07240484785785,27405.13881598234,24,time_stop,656.115847756576,61.726866653293605,69.86148177187168,0.0,524.5274993314107,0.0191397497693211,98894.24631677162
BTC,1,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,62862.6,62155.485714285714,0.699280500441836,43958.59038707496,1,stop,-494.47123158385597,49.45341418545933,49.45341418545933,0.0,-593.3780599547746,-0.013498568874247708,98130.77986478808
ETH,1,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,2581.1,2544.825714285714,13.624636702861219,35166.54979375509,1,stop,-494.2239645129317,39.56236851797448,39.56236851797448,0.0,-573.3487015488806,-0.016303808730496968,97596.99353175718
XRP,1,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,0.6182,0.6065571428571428,42431.69409438516,26231.273289148903,1,stop,-494.0261526703429,45.28134754529933,45.639849072492396,0.0,-584.9473492881347,-0.022299617057861616,97057.32753001434
DOGE,1,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,0.11482,0.1117,174929.05979394226,20085.35464554045,1,stop_gap,-545.7786665571019,27.190609017931788,27.212194821466053,0.0,-600.1814703964998,-0.02988154707687763,96484.33666863578
ADA,1,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,0.3764,0.3685,65447.851329785546,24634.57124053128,1,stop_gap,-517.038025505307,58.054066947565545,54.458574915011496,0.0,-629.550667367884,-0.025555576397939646,95912.84006821546
DOGE,1,2024-10-01 15:00:00+00:00,2024-10-01 16:00:00+00:00,0.1117,0.10859857142857142,154626.87251900233,17271.82166037256,1,stop,-479.56420034107765,22.171998792457348,26.483351874146226,0.0,-528.2195510076813,-0.030582735359038403,95266.95896861434
ADA,1,2024-10-01 15:00:00+00:00,2024-10-01 16:00:00+00:00,0.3685,0.36041428571428574,59296.34951289416,21850.704795501497,1,stop,-479.4533403471136,43.67720227956759,61.6344118282169,0.0,-584.7649544548981,-0.026761834912313046,94725.87121643902
UNI,1,2024-10-01 15:00:00+00:00,2024-10-01 16:00:00+00:00,7.244,6.998285714285714,1950.1174346468015,14126.65069658143,1,stop,-479.1717125132138,32.53225753902727,43.81238563233462,0.0,-555.5163556845757,-0.03932399601407342,94202.88711829347
AAVE,1,2024-10-01 15:00:00+00:00,2024-10-01 16:00:00+00:00,153.59,148.74714285714288,98.91042355689191,15191.65195410303,1,stop,-479.0090512255179,28.803724274239578,36.10871725832208,0.0,-543.9214927580796,-0.035803972760919844,93687.76934980963
SUI,1,2024-10-01 15:00:00+00:00,2024-10-01 17:00:00+00:00,1.7793,1.6927285714285716,5535.717294306968,9849.701781760388,2,stop,-479.23495433571725,12.648364500592647,14.165322742927225,0.0,-506.04864157923714,-0.05137705209677867,93194.36907273099
AAVE,1,2024-10-02 13:00:00+00:00,2024-10-02 16:00:00+00:00,139.67,146.2785714285714,105.69530114010817,14762.462710238908,3,target,698.4949472487714,31.466525132788195,37.502620768648505,0.0,629.5258013473347,0.0426436844382821,93762.18543451668
ADA,1,2024-10-02 10:00:00+00:00,2024-10-02 18:00:00+00:00,0.3516,0.34222857142857144,49722.60545039006,17482.468076357145,8,stop,-465.97184536365614,50.30438910570628,53.7841719460549,0.0,-570.0604064154173,-0.032607547396946365,93242.42941720696
PEPE,1,2024-10-02 10:00:00+00:00,2024-10-02 19:00:00+00:00,9.742e-06,9.120142857142857e-06,748918507.6790459,7295.964101809264,9,stop,-465.72032341812604,11.405050455943174,10.06752448355104,0.0,-487.19289835762027,-0.0667756709818248,92766.64156930528
XRP,1,2024-10-02 19:00:00+00:00,2024-10-02 21:00:00+00:00,0.5692,0.5512571428571429,25831.774046938124,14703.445787517181,2,stop,-463.49583147077567,28.699006381222063,27.20765235530677,0.0,-519.4024902073045,-0.035325222244724626,92138.70190710871
ETH,1,2024-10-02 19:00:00+00:00,2024-10-03 08:00:00+00:00,2389.42,2334.151428571429,8.389842999052204,20046.858658795318,13,stop,-463.6946370676152,22.552715991144733,22.552715991144733,0.0,-508.80006904990466,-0.025380538552691134,91652.45455404995
SOL,1,2024-10-02 19:00:00+00:00,2024-10-03 08:00:00+00:00,142.26,137.94857142857143,107.52396005346651,15296.358557206146,13,stop,-463.58187348765915,17.208403376856914,17.208403376856914,0.0,-497.99868024137294,-0.03255668193046931,91171.66427718544
BTC,1,2024-10-02 19:00:00+00:00,2024-10-03 19:00:00+00:00,60770.0,61034.9,0.4053777380235333,24634.805139690117,24,time_stop,107.38456280243456,27.71415578215138,27.71415578215138,0.0,51.9562512381318,0.002109058746091846,91251.33468420572
ADA,1,2024-10-02 19:00:00+00:00,2024-10-03 19:00:00+00:00,0.3388,0.3427,43016.795160107205,14574.09020024432,24,time_stop,167.76550112441873,41.06189683910125,58.31913043206501,0.0,68.38447385325247,0.0046921950470778665,91360.78105489808
SOL,1,2024-10-07 19:00:00+00:00,2024-10-08 15:00:00+00:00,145.68,141.99857142857144,124.00550491515926,18065.121956040402,20,stop,-456.5174088090931,21.265387765616325,20.323262200545454,0.0,-498.1060587752549,-0.027572803548591825,90697.20073633982
ADA,1,2024-10-07 19:00:00+00:00,2024-10-08 15:00:00+00:00,0.3513,0.3427428571428571,53336.8543087121,18737.23691865056,20,stop,-456.4110818702659,53.06375810838787,54.86076685697063,0.0,-564.3356068356244,-0.03011840055637549,90185.92888761258
LINK,1,2024-10-07 19:00:00+00:00,2024-10-08 15:00:00+00:00,11.236,10.91757142857143,1432.4900590211128,16095.458303161224,20,stop,-456.14576307972237,55.11120859517007,41.79619975290149,0.0,-553.0531714277939,-0.034360821606376483,89687.98692477995
BTC,1,2024-10-07 19:00:00+00:00,2024-10-08 19:00:00+00:00,62853.7,62249.9,0.4563280203389934,28681.904491980986,24,time_stop,-275.53085868068223,32.26714255347861,32.26714255347861,0.0,-340.06514378763944,-0.011856435261567667,89380.1889235458
