k,z,v,n_trades,sharpe
1,1.5,1.5,74,-2.7931
1,2.25,1.5,157,-1.4023
1,3.0,1.5,113,-0.5171
1,3.75,1.5,174,-0.7952
1,4.5,1.5,119,-1.0899
1,1.5,1.5,74,-2.7931
1,2.25,1.5,157,-1.4023
1,3.0,1.5,113,-0.5171
1,3.75,1.5,174,-0.7952
1,4.5,1.5,119,-1.0899
1,1.5,1.5,74,-2.7931
1,2.25,1.5,157,-1.4023
1,3.0,1.5,113,-0.5171
1,3.75,1.5,174,-0.7952
1,4.5,1.5,119,-1.0899
1,1.5,1.5,74,-2.7931
1,2.25,1.5,157,-1.4023
1,3.0,1.5,113,-0.5171
1,3.75,1.5,174,-0.7952
1,4.5,1.5,119,-1.0899
2,1.5,1.5,82,-1.8117
2,2.25,1.5,93,-1.4413
2,3.0,1.5,86,-0.8255
2,3.75,1.5,129,-0.7407
2,4.5,1.5,134,-1.0684
