trial_id,family,hypothesis,n_trades,n_bars,gross_bps_per_bar,net_bps_per_bar,sharpe_net,sharpe_gross,max_dd_pct,total_net_return_pct,avg_turnover_per_bar,regime_bull,regime_bear,regime_chop,n_pos_regimes,outcome,cause_of_death
A01_z1.5,A,Long when funding z-score extremely negative,6742.0,29328.0,0.573,-0.7864,-0.612,0.447,-99.55,-98.75,0.0542,2.16,-3.772,-1.327,1.0,KILLED,net edge -0.7864bps<=0 at pessimistic cost
A02_z1.5,A,Short when funding z-score extremely positive,3876.0,29328.0,-0.4716,-1.2265,-1.361,-0.524,-99.14,-99.03,0.03062,-3.456,1.189,-0.901,1.0,KILLED,net edge -1.2265bps<=0 at pessimistic cost
A01_z2.0,A,Long when funding z-score extremely negative,5207.0,29328.0,0.7058,-0.623,-0.46,0.522,-99.53,-98.37,0.05261,2.081,-3.914,-0.822,1.0,KILLED,net edge -0.623bps<=0 at pessimistic cost
A02_z2.0,A,Short when funding z-score extremely positive,3139.0,29328.0,-0.3808,-0.9156,-1.23,-0.513,-97.39,-96.64,0.02164,-3.014,0.986,-0.41,1.0,KILLED,net edge -0.9156bps<=0 at pessimistic cost
A01_z3.0,A,Long when funding z-score extremely negative,3446.0,29328.0,0.1677,-1.1485,-0.839,0.123,-99.88,-99.65,0.05152,0.948,-3.587,-1.364,1.0,KILLED,net edge -1.1485bps<=0 at pessimistic cost
A02_z3.0,A,Short when funding z-score extremely positive,2126.0,29328.0,-0.6074,-1.0595,-1.666,-0.957,-98.16,-97.33,0.0181,-2.826,0.086,-0.388,1.0,KILLED,net edge -1.0595bps<=0 at pessimistic cost
A03_t5e-05,A,Funding carry: short perp when funding persistently positive,4132.0,29328.0,-0.6566,-0.7958,-0.944,-0.779,-96.91,-96.06,0.00551,-4.256,2.378,0.018,2.0,KILLED,net edge -0.7958bps<=0 at pessimistic cost
A03_t0.0001,A,Funding carry: short perp when funding persistently positive,3667.0,29328.0,-0.6404,-0.847,-0.959,-0.725,-97.57,-96.89,0.00811,-3.833,1.216,0.221,2.0,KILLED,net edge -0.847bps<=0 at pessimistic cost
A03_t0.0003,A,Funding carry: short perp when funding persistently positive,1910.0,29328.0,-1.4408,-1.7713,-1.363,-1.109,-99.92,-99.92,0.01302,-2.026,-4.154,-0.3,0.0,KILLED,net edge -1.7713bps<=0 at pessimistic cost
A04,A,Funding sign flip as regime change,4118.0,29328.0,-0.6251,-3.3866,-3.222,-0.596,-100.0,-100.0,0.10992,-2.952,-4.713,-2.988,0.0,KILLED,net edge -3.3866bps<=0 at pessimistic cost
A05_f0.1,A,Cross-sectional funding rank long cheap/short dear,12143.0,29328.0,-0.0763,-1.7628,-2.167,-0.094,-99.82,-99.76,0.06736,-1.33,-4.1,-0.818,0.0,KILLED,net edge -1.7628bps<=0 at pessimistic cost
A05_f0.2,A,Cross-sectional funding rank long cheap/short dear,23639.0,29328.0,0.1918,-1.5014,-1.994,0.255,-99.66,-99.41,0.06787,-1.028,-3.215,-0.922,0.0,KILLED,net edge -1.5014bps<=0 at pessimistic cost
A10_z2.0,A,OI rate-of-change extreme -> fade leverage build-up,1942.0,29328.0,-0.1567,-1.7596,-1.872,-0.168,-99.88,-99.82,0.07796,-4.852,1.61,-1.319,1.0,KILLED,net edge -1.7596bps<=0 at pessimistic cost
A11_z2.0,A,Top-trader L/S extreme -> follow informed cohort,978.0,29328.0,0.4761,-0.054,-0.096,0.845,-70.21,-43.25,0.02624,0.308,0.318,-0.519,2.0,KILLED,net edge -0.054bps<=0 at pessimistic cost
A12_z2.0,A,Retail account L/S extreme -> fade the crowd,1580.0,29328.0,1.8606,0.8612,1.029,2.225,-65.96,395.76,0.04874,-0.927,1.251,1.957,2.0,ADVANCE_TIER2,
A13_z2.0,A,Taker buy/sell ratio extreme -> fade aggressive flow,11055.0,29328.0,-0.3544,-5.8511,-8.448,-0.518,-100.0,-100.0,0.26885,-7.656,-4.666,-5.172,0.0,KILLED,net edge -5.8511bps<=0 at pessimistic cost
A10_z3.0,A,OI rate-of-change extreme -> fade leverage build-up,928.0,29328.0,-0.5485,-1.5134,-1.758,-0.639,-99.71,-99.55,0.04675,-4.151,1.604,-1.269,1.0,KILLED,net edge -1.5134bps<=0 at pessimistic cost
A11_z3.0,A,Top-trader L/S extreme -> follow informed cohort,368.0,29328.0,0.256,-0.0978,-0.177,0.464,-77.75,-49.4,0.01738,0.389,0.602,-0.831,2.0,KILLED,net edge -0.0978bps<=0 at pessimistic cost
A12_z3.0,A,Retail account L/S extreme -> fade the crowd,371.0,29328.0,1.4701,1.0595,1.021,1.416,-86.69,157.6,0.01982,-0.059,2.24,1.239,2.0,ADVANCE_TIER2,
A13_z3.0,A,Taker buy/sell ratio extreme -> fade aggressive flow,5233.0,29328.0,0.0116,-3.9341,-6.997,0.021,-100.0,-100.0,0.19144,-5.001,-2.919,-3.703,0.0,KILLED,net edge -3.9341bps<=0 at pessimistic cost
A15_z3.0_h12,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",7969.0,29328.0,-0.0121,-1.585,-2.061,-0.016,-99.76,-99.56,0.062,-0.2,-3.263,-1.691,0.0,KILLED,net edge -1.585bps<=0 at pessimistic cost
A15_z3.0_h24,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",7272.0,29328.0,0.8626,-0.4921,-0.518,0.916,-98.27,-92.4,0.05342,1.036,-2.306,-0.629,1.0,KILLED,net edge -0.4921bps<=0 at pessimistic cost
